"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"ERSTES KAPITEL Verantwortung für Europa wahrnehmen"," "," ","1"
"ERSTES KAPITEL Verantwortung für Europa wahrnehmen","I. Die Krise im Euro-Raum bewältigen"," ","1"
"ERSTES KAPITEL Verantwortung für Europa wahrnehmen","I. Die Krise im Euro-Raum bewältigen","Stabilisierung der öffentlichen Finanzen im Euro-Raum","3"
"ERSTES KAPITEL Verantwortung für Europa wahrnehmen","I. Die Krise im Euro-Raum bewältigen","Stabilisierung der Finanzinstitute des Euro-Raums","7"
"ERSTES KAPITEL Verantwortung für Europa wahrnehmen","I. Die Krise im Euro-Raum bewältigen","Zwischenfazit: Europäisch handeln","9"
"ERSTES KAPITEL Verantwortung für Europa wahrnehmen","II. Deutschland in unsicherem Umfeld"," ","10"
"ERSTES KAPITEL Verantwortung für Europa wahrnehmen","III. Aufgabenstellung für weitere Politikbereiche"," ","13"
"ERSTES KAPITEL Verantwortung für Europa wahrnehmen","III. Aufgabenstellung für weitere Politikbereiche","1. Energiepolitik: Erfolgreiche Energiewende nur im europäischen Kontext","13"
"ERSTES KAPITEL Verantwortung für Europa wahrnehmen","III. Aufgabenstellung für weitere Politikbereiche","2. Öffentliche Finanzen: Vorrang für die Konsolidierung","17"
"ERSTES KAPITEL Verantwortung für Europa wahrnehmen","III. Aufgabenstellung für weitere Politikbereiche","3. Arbeitsmarkt: Bisher ungebrochene Beschäftigungsdynamik","20"
"ERSTES KAPITEL Verantwortung für Europa wahrnehmen","III. Aufgabenstellung für weitere Politikbereiche","4. Soziale Sicherung: Gute Finanzlage – Nachlässigkeit bei Reformen","22"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland"," "," ","24"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Die Krise ist noch nicht ausgestanden"," ","26"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Die Krise ist noch nicht ausgestanden","1. Konjunktur der zwei Geschwindigkeiten","28"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Die Krise ist noch nicht ausgestanden","2. Industrieländer: Zwischen Konsolidierung und Konjunkturstabilisierung","31"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Die Krise ist noch nicht ausgestanden","Schuldenlast erfordert Konsolidierung","31"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Die Krise ist noch nicht ausgestanden","Zentralbanken weiterhin im Krisenmodus","33"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Die Krise ist noch nicht ausgestanden","Fehlende Impulse für die private Nachfrage","36"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Die Krise ist noch nicht ausgestanden","3. Schwellenländer: Hoffnung für die Weltwirtschaft?","40"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Die Krise ist noch nicht ausgestanden","Die Entwicklung in den Schwellenländern im Einzelnen","40"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Die Krise ist noch nicht ausgestanden","Chancen und Risiken für die Schwellenländer","42"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Die Krise ist noch nicht ausgestanden","Wirtschaftspolitische Maßnahmen zur Stabilisierung der Konjunkturentwicklung","44"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Die Krise ist noch nicht ausgestanden","4. Nicht ohne Risiko: Die globale Wirtschaftsentwicklung im Prognosezeitraum","47"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland in einem global unsicheren Umfeld"," ","51"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland in einem global unsicheren Umfeld","1. Die konjunkturelle Situation bis Mitte 2011","51"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland in einem global unsicheren Umfeld","Ende des Aufholprozesses – Die Konjunktur zur Jahresmitte 2011","53"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland in einem global unsicheren Umfeld","2. Ausblick auf das dritte Quartal 2011","54"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland in einem global unsicheren Umfeld","3. Die Entwicklung im Prognosezeitraum","57"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland in einem global unsicheren Umfeld","4. Impulse von innen, Dämpfer von außen: Details der Entwicklung","58"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland in einem global unsicheren Umfeld","Außenwirtschaft","58"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland in einem global unsicheren Umfeld","Einkommensentwicklung und Konsumausgaben","61"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland in einem global unsicheren Umfeld","Bruttoanlageinvestitionen","63"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland in einem global unsicheren Umfeld","Preisniveauentwicklung","64"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland in einem global unsicheren Umfeld","Arbeitsmarkt","66"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland in einem global unsicheren Umfeld","Öffentliche Finanzen","70"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland in einem global unsicheren Umfeld","5. Szenarien zur Konjunkturentwicklung in Deutschland","72"
"DRITTES KAPITEL Euro-Raum in der Krise"," "," ","76"
"DRITTES KAPITEL Euro-Raum in der Krise","I. Währungsunion: Die langfristige Stabilisierung steht noch aus"," ","78"
"DRITTES KAPITEL Euro-Raum in der Krise","II. Von der Schuldenkrise zur Systemkrise"," ","79"
"DRITTES KAPITEL Euro-Raum in der Krise","II. Von der Schuldenkrise zur Systemkrise","1. Wachsende Verunsicherung auf den Finanzmärkten","80"
"DRITTES KAPITEL Euro-Raum in der Krise","II. Von der Schuldenkrise zur Systemkrise","2. Immer umfangreichere Rettungsprogramme ohne nachhaltige Wirkung","86"
"DRITTES KAPITEL Euro-Raum in der Krise","II. Von der Schuldenkrise zur Systemkrise","3. Konsequente Stabilisierungsprogramme ohne Wirkung auf die Märkte","88"
"DRITTES KAPITEL Euro-Raum in der Krise","III. „Geld, das man nicht selbst herstellen kann“: Das besondere institutionelle Umfeld der Europäischen Währungsunion"," ","93"
"DRITTES KAPITEL Euro-Raum in der Krise","IV. Austritte aus der Währungsunion sind keine Lösung"," ","96"
"DRITTES KAPITEL Euro-Raum in der Krise","IV. Austritte aus der Währungsunion sind keine Lösung","1. Für Deutschland würden die Nachteile eindeutig überwiegen","97"
"DRITTES KAPITEL Euro-Raum in der Krise","IV. Austritte aus der Währungsunion sind keine Lösung","2. Austritt Griechenlands ist ebenfalls keine Lösung","99"
"DRITTES KAPITEL Euro-Raum in der Krise","V. Ein Befreiungsschlag?"," ","99"
"DRITTES KAPITEL Euro-Raum in der Krise","V. Ein Befreiungsschlag?","1. Schuldenschnitt für Griechenland","100"
"DRITTES KAPITEL Euro-Raum in der Krise","V. Ein Befreiungsschlag?","2. Ausweitung der Kreditvergabekapazität der EFSF","103"
"DRITTES KAPITEL Euro-Raum in der Krise","V. Ein Befreiungsschlag?","3. Problematische Vorschläge für die kurze Frist","105"
"DRITTES KAPITEL Euro-Raum in der Krise","V. Ein Befreiungsschlag?","Eurobonds","106"
"DRITTES KAPITEL Euro-Raum in der Krise","V. Ein Befreiungsschlag?","Anleihekäufe durch die Europäische Zentralbank","107"
"DRITTES KAPITEL Euro-Raum in der Krise","V. Ein Befreiungsschlag?","Banklizenz für die EFSF","108"
"DRITTES KAPITEL Euro-Raum in der Krise","VI. Ein Schuldentilgungspakt für Europa"," ","109"
"DRITTES KAPITEL Euro-Raum in der Krise","VII. Perspektiven für die Europäische Währungsunion"," ","118"
"DRITTES KAPITEL Euro-Raum in der Krise","VII. Perspektiven für die Europäische Währungsunion","1. Bisherige Reformen reichen nicht aus","118"
"DRITTES KAPITEL Euro-Raum in der Krise","VII. Perspektiven für die Europäische Währungsunion","2. Wege zu mehr Integration in der Fiskalpolitik","120"
"DRITTES KAPITEL Euro-Raum in der Krise","VII. Perspektiven für die Europäische Währungsunion","3. Wie kann die Marktdisziplin verbessert werden?","121"
"DRITTES KAPITEL Euro-Raum in der Krise","VII. Perspektiven für die Europäische Währungsunion","4. Kein leichter Weg","123"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück"," "," ","128"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","I. Das europäische Bankensystem wieder in Gefahr"," ","130"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","II. Die Zwillinge: Bankenkrise und Schuldenkrise"," ","135"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","II. Die Zwillinge: Bankenkrise und Schuldenkrise","1. Schuldenkrisen und Versagen der Märkte für Staatsanleihen","136"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","II. Die Zwillinge: Bankenkrise und Schuldenkrise","2. Die internationale Debatte um einen effektiven Ordnungsrahmen","141"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","II. Die Zwillinge: Bankenkrise und Schuldenkrise","3. Ein effektiver langfristiger Ordnungsrahmen für den Euro-Raum","143"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","II. Die Zwillinge: Bankenkrise und Schuldenkrise","Ein Vorschlag für einen langfristigen Ordnungsrahmen","144"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","II. Die Zwillinge: Bankenkrise und Schuldenkrise","Notwendige Anpassungen der Finanzmarktregulierung","146"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","III. Der Umgang mit systemrelevanten Finanzinstituten"," ","147"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","III. Der Umgang mit systemrelevanten Finanzinstituten","1. Kein effektives Aufsichts- und Insolvenzregime für systemrelevante Finanzinstitute","149"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","III. Der Umgang mit systemrelevanten Finanzinstituten","Reform der Europäischen Finanzaufsicht","150"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","III. Der Umgang mit systemrelevanten Finanzinstituten","Bisher kein effektives supranationales Insolvenzregime in Sicht","151"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","III. Der Umgang mit systemrelevanten Finanzinstituten","Notwendiges europäisches Restrukturierungsregime","153"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","III. Der Umgang mit systemrelevanten Finanzinstituten","2. Unzureichende Widerstandskraft","154"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","III. Der Umgang mit systemrelevanten Finanzinstituten","Zusätzliche Eigenkapitalanforderungen für systemrelevante Finanzinstitute","155"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","III. Der Umgang mit systemrelevanten Finanzinstituten","Trennbankensystem als Regulierungsinstrument","161"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","III. Der Umgang mit systemrelevanten Finanzinstituten","3. Wie viel Eigenkapital ist genug?","162"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","III. Der Umgang mit systemrelevanten Finanzinstituten","Kosten und Nutzen höherer Eigenkapitalanforderungen","163"
"VIERTES KAPITEL Von der Bankenkrise zur Schuldenkrise und wieder zurück","III. Der Umgang mit systemrelevanten Finanzinstituten","Notwendigkeit eines robusten Regulierungsrahmens","167"
"FÜNFTES KAPITEL Öffentliche Finanzen: Vorrang für die Konsolidierung"," "," ","176"
"FÜNFTES KAPITEL Öffentliche Finanzen: Vorrang für die Konsolidierung","I. Öffentliche Haushalte im Jahr 2011"," ","178"
"FÜNFTES KAPITEL Öffentliche Finanzen: Vorrang für die Konsolidierung","I. Öffentliche Haushalte im Jahr 2011","1. Entwicklung der staatlichen Einnahmen und Ausgaben","178"
"FÜNFTES KAPITEL Öffentliche Finanzen: Vorrang für die Konsolidierung","I. Öffentliche Haushalte im Jahr 2011","2. Finanzpolitische Kennziffern","180"
