"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Erstes Kapitel: Die Konjunkturlage"," "," ","19"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen"," ","19"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","I. Weltwirtschaft wieder im Aufschwung","19"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","Aber: Wirtschaftspolitische Ziele noch nicht erreicht","22"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","Weltwirtschaftliche Verteilungsprobleme","27"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","H. Verschärfung der Ungleichgewichte in Europa","30"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","Steiles Stabilitätsgefälle","31"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","Noch hohe öffentliche Defizite","34"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","Geldpolitik ohne einheitliches Konzept","35"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","Zur europäischen Agrarpolitik","36"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976"," ","39"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","I. Überblick","39"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Wieder im Aufschwung","39"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","H. Deutliche konjunkturelle Erholung","40"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Kräftige Belebung der Auslandsnachfrage","40"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Wieder größere Ausgabeneigung der Verbraucher","42"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Lageraufbau als Verstärker","44"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Ausreichende Investitionsneigung?","45"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Deutlicher Produktionsanstieg","41"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","HI. Nur allmähliche Besserung am Arbeitsmarkt","50"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Arbeitslosigkeit aufgrund von Merkmalsdifferenzen zwischen Angebot und Nachfrage auf dem Arbeitsmarkt","60"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","IV. Korrektur der Einkommensverteilung","61"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Abermals maßvolle Lohnabschlüsse","61"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Verbesserte Ertragslage","68"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Kräftige Umverteilung der Markteinkommen","70"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","V, Inflationssockel weiter abgebaut","71"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Industrielle Erzeugerpreise konjunkturell anziehend","71"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Weiterhin hohe landwirtschaftliche Erzeugerpreise","73"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Weiter abgeschwächter Anstieg der Verbraucherpreise","74"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","VI. Die Außenwirtschaft im Aufwind","76"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Kräftige Ausweitung des Außenhandels","76"
