"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Erstes Kapitel: Die wirtschaftliche Lage"," "," ","21"
"Erstes Kapitel: Die wirtschaftliche Lage","I. Die deutsche Volkswirtschaft im Jahre 1996: Ein Überblick"," ","21"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Das weltwirtschaftliche Umfeld: Spannungsfreie Belebung"," ","25"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Das weltwirtschaftliche Umfeld: Spannungsfreie Belebung","Westeuropa: Im Jahresverlauf konjunkturelle Erholung","26"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Das weltwirtschaftliche Umfeld: Spannungsfreie Belebung","Mittel- und osteuropäische Reformländer: Wachstumsprozess setzt sich fort","32"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Das weltwirtschaftliche Umfeld: Spannungsfreie Belebung","Stabile Aufwärtsentwicklung in den Vereinigten Staaten - Folgen der Peso-Krise in Lateinamerika weitgehend überwunden","36"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Das weltwirtschaftliche Umfeld: Spannungsfreie Belebung","Anzeichen für eine konjunkturelle Erholung in Japan - weiterhin hohe Dynamik in den Schwellenländern Ostasiens","39"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Das weltwirtschaftliche Umfeld: Spannungsfreie Belebung","Anhaltend hohe Arbeitslosigkeit in Westeuropa - starke Zunahme der Beschäftigung in den Vereinigten Staaten","40"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Das weltwirtschaftliche Umfeld: Spannungsfreie Belebung","Exkurs: Neuseeland - Fallbeispiel für angebotsorientierte Wirtschaftspolitik","44"
"Erstes Kapitel: Die wirtschaftliche Lage","m. Wachstumsschwäche in Deutschland trotz konjunktureller Aufhellung"," ","55"
"Erstes Kapitel: Die wirtschaftliche Lage","m. Wachstumsschwäche in Deutschland trotz konjunktureller Aufhellung","Anhaltend schwaches Potentialwachstum","55"
"Erstes Kapitel: Die wirtschaftliche Lage","m. Wachstumsschwäche in Deutschland trotz konjunktureller Aufhellung","Investitionstätigkeit in Deutschland kommt nicht in Fahrt","57"
"Erstes Kapitel: Die wirtschaftliche Lage","m. Wachstumsschwäche in Deutschland trotz konjunktureller Aufhellung","Weiterhin hohes Auslandsengagement deutscher Investoren","64"
"Erstes Kapitel: Die wirtschaftliche Lage","m. Wachstumsschwäche in Deutschland trotz konjunktureller Aufhellung","Exkurs: Anmerkungen zu den umweltökonomischen Gesamtrechnungen","69"
