"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Erstes Kapitel: Die wirtschaftliche Lage"," "," ","23"
"Erstes Kapitel: Die wirtschaftliche Lage","I. Die deutsche Wirtschaft im Jahre 1994: Ein Überblick"," ","23"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Der weltwirtschaftliche Rahmen: Auftriebskräfte setzen sich durch"," ","27"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Der weltwirtschaftliche Rahmen: Auftriebskräfte setzen sich durch","Erholung der Konjunktur in Westeuropa","34"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Der weltwirtschaftliche Rahmen: Auftriebskräfte setzen sich durch","Anhaltend kräftiger Aufschwung in Amerika","37"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Der weltwirtschaftliche Rahmen: Auftriebskräfte setzen sich durch","Asien: Leichte Belebung in Japan - anhaltende Dynamik in den Schwellenländern","38"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Der weltwirtschaftliche Rahmen: Auftriebskräfte setzen sich durch","Weiterhin unterschiedliche Entwicklungen in Mittel- und Osteuropa","40"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Der weltwirtschaftliche Rahmen: Auftriebskräfte setzen sich durch","Exkurs: Uruguay-Runde des GATT beendet","53"
"Erstes Kapitel: Die wirtschaftliche Lage","III. Steigende Produktion und wieder höhere Investitionen in Deutschland"," ","56"
"Erstes Kapitel: Die wirtschaftliche Lage","III. Steigende Produktion und wieder höhere Investitionen in Deutschland","Investitionstätigkeit: Wieder anziehende Entwicklung im Westen - stabiler Aufwärtstrend im Osten","57"
"Erstes Kapitel: Die wirtschaftliche Lage","III. Steigende Produktion und wieder höhere Investitionen in Deutschland","Nur leicht erhöhtes Wachstum der Produktionskapazitäten","62"
"Erstes Kapitel: Die wirtschaftliche Lage","IV. Westdeutschland: Deutliche Konjunkturerholung"," ","64"
"Erstes Kapitel: Die wirtschaftliche Lage","IV. Westdeutschland: Deutliche Konjunkturerholung","Export: Hauptmotor der Konjunktur","65"
"Erstes Kapitel: Die wirtschaftliche Lage","IV. Westdeutschland: Deutliche Konjunkturerholung","Wohnungsbau treibt Baukonjunktur an","67"
"Erstes Kapitel: Die wirtschaftliche Lage","IV. Westdeutschland: Deutliche Konjunkturerholung","Privater Verbrauch im Zeichen mäßiger Einkommensentwicklung","69"
"Erstes Kapitel: Die wirtschaftliche Lage","IV. Westdeutschland: Deutliche Konjunkturerholung","Staatsverbrauch real stagnierend","71"
"Erstes Kapitel: Die wirtschaftliche Lage","IV. Westdeutschland: Deutliche Konjunkturerholung","Nur mäßiger Rückgang der Inflationsrate","71"
"Erstes Kapitel: Die wirtschaftliche Lage","V. Ostdeutschland: Aufwärtsentwicklung festigt sich"," ","75"
"Erstes Kapitel: Die wirtschaftliche Lage","V. Ostdeutschland: Aufwärtsentwicklung festigt sich","Produktionsanstieg gewinnt an Breite","76"
"Erstes Kapitel: Die wirtschaftliche Lage","V. Ostdeutschland: Aufwärtsentwicklung festigt sich","Export im Umbruch","82"
"Erstes Kapitel: Die wirtschaftliche Lage","V. Ostdeutschland: Aufwärtsentwicklung festigt sich","Rege Gründungstätigkeit, Privatisierung vor dem Abschluß","83"
"Erstes Kapitel: Die wirtschaftliche Lage","V. Ostdeutschland: Aufwärtsentwicklung festigt sich","Weiterhin kräftige Einkommenssteigerungen bei geringem Preisanstieg","88"
"Erstes Kapitel: Die wirtschaftliche Lage","V. Ostdeutschland: Aufwärtsentwicklung festigt sich","Erste Anhaltspunkte für ein regionales Differenzierungsmuster","88"
"Erstes Kapitel: Die wirtschaftliche Lage","VI. Trendwende am Arbeitsmarkt?"," ","93"
"Erstes Kapitel: Die wirtschaftliche Lage","VI. Trendwende am Arbeitsmarkt?","Beschäftigungsabbau zu Ende","93"
"Erstes Kapitel: Die wirtschaftliche Lage","VI. Trendwende am Arbeitsmarkt?","Unterbeschäftigung rückläufig","99"
"Erstes Kapitel: Die wirtschaftliche Lage","VI. Trendwende am Arbeitsmarkt?","Tarifpolitik mit Augenmaß","105"
"Erstes Kapitel: Die wirtschaftliche Lage","VII. Geldmengensteuerung weiterhin in Schwierigkeiten"," ","114"
"Erstes Kapitel: Die wirtschaftliche Lage","VII. Geldmengensteuerung weiterhin in Schwierigkeiten","Geldmengenziel erneut überschritten","114"
"Erstes Kapitel: Die wirtschaftliche Lage","VII. Geldmengensteuerung weiterhin in Schwierigkeiten","Geldmarktzinsen gesunken","119"
"Erstes Kapitel: Die wirtschaftliche Lage","VII. Geldmengensteuerung weiterhin in Schwierigkeiten","Hohe Volatilität an den Kapitalmärkten","119"
"Erstes Kapitel: Die wirtschaftliche Lage","VII. Geldmengensteuerung weiterhin in Schwierigkeiten","Beruhigung an den Devisenmärkten","124"
"Erstes Kapitel: Die wirtschaftliche Lage","VII. Geldmengensteuerung weiterhin in Schwierigkeiten","Währungsunion: Zweite Stufe","124"
"Erstes Kapitel: Die wirtschaftliche Lage","VII. Geldmengensteuerung weiterhin in Schwierigkeiten","Exkurs: Zur Stabilität der Geldnachfrage","130"
"Erstes Kapitel: Die wirtschaftliche Lage","VIII. Öffentliche Finanzen: Konsolidierung kommt voran"," ","132"
"Erstes Kapitel: Die wirtschaftliche Lage","VIII. Öffentliche Finanzen: Konsolidierung kommt voran","Haushaltsfehlbeträge immer noch hoch","132"
"Erstes Kapitel: Die wirtschaftliche Lage","VIII. Öffentliche Finanzen: Konsolidierung kommt voran","Gebietskörperschaften auf Konsolidierungskurs eingeschwenkt","136"
"Erstes Kapitel: Die wirtschaftliche Lage","VIII. Öffentliche Finanzen: Konsolidierung kommt voran","Wieder kräftigere Entwicklung der Steuereinnahmen","140"
"Erstes Kapitel: Die wirtschaftliche Lage","VIII. Öffentliche Finanzen: Konsolidierung kommt voran","Entwicklung der Abgabenbelastung: Rückblick und Ausblick","142"
"Erstes Kapitel: Die wirtschaftliche Lage","VIII. Öffentliche Finanzen: Konsolidierung kommt voran","Zur finanziellen Lage der Sozialversicherung","146"
"Erstes Kapitel: Die wirtschaftliche Lage","IX. Zur Diskussion gestellt: Strukturelles Defizit und konjunktureller Impuls"," ","151"
"Zweites Kapitel: Zur voraussichtlichen Entwicklung im Jahre 1995"," "," ","159"
"Zweites Kapitel: Zur voraussichtlichen Entwicklung im Jahre 1995","I. Ausgangslage"," ","159"
"Zweites Kapitel: Zur voraussichtlichen Entwicklung im Jahre 1995","II. Das weltwirtschaftliche Umfeld"," ","161"
"Zweites Kapitel: Zur voraussichtlichen Entwicklung im Jahre 1995","III. Die wirtschaftlichen Aussichten in Deutschland"," ","162"
"Drittes Kapitel: Grundlinien der Wirtschaftspolitik"," "," ","176"
"Drittes Kapitel: Grundlinien der Wirtschaftspolitik","I. Nach der Rezession: Voraussetzungen für einen dauerhaften Aufschwung schaffen"," ","176"
"Drittes Kapitel: Grundlinien der Wirtschaftspolitik","II. Ziele der Wirtschaftspolitik: Wo stehen wir - wie geht es weiter?"," ","177"
"Drittes Kapitel: Grundlinien der Wirtschaftspolitik","II. Ziele der Wirtschaftspolitik: Wo stehen wir - wie geht es weiter?","Stetiges und angemessenes Wachstum in ganz Deutschland ist erreichbar","177"
"Drittes Kapitel: Grundlinien der Wirtschaftspolitik","II. Ziele der Wirtschaftspolitik: Wo stehen wir - wie geht es weiter?","Hoher Beschäftigungsstand: Deutliche Annäherung an das Ziel dringend geboten","179"
"Drittes Kapitel: Grundlinien der Wirtschaftspolitik","II. Ziele der Wirtschaftspolitik: Wo stehen wir - wie geht es weiter?","Stabiles Preisniveau: Orientierungsprobleme der Geldpolitik","181"
"Drittes Kapitel: Grundlinien der Wirtschaftspolitik","II. Ziele der Wirtschaftspolitik: Wo stehen wir - wie geht es weiter?","Außenwirtschaftliches Gleichgewicht: Vertrauensbasis erhalten","182"
"Drittes Kapitel: Grundlinien der Wirtschaftspolitik","III. Rahmenbedingungen für den Wachstumsprozeß: Die besondere Verantwortung des Staates"," ","182"
"Drittes Kapitel: Grundlinien der Wirtschaftspolitik","IV. Wirtschaftspolitik für die neuen Bundesländer: Den Weg zur Normalität finden"," ","188"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen"," "," ","192"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","I. Finanzpolitik: Für mehr Wachstum und Beschäftigung"," ","192"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","I. Finanzpolitik: Für mehr Wachstum und Beschäftigung","Senkung der Staatsquote, Rückführung der Abgabenbelastung","192"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","I. Finanzpolitik: Für mehr Wachstum und Beschäftigung","Noch einmal: Für eine Reform der Unternehmensbesteuerung","200"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","I. Finanzpolitik: Für mehr Wachstum und Beschäftigung","Anpassung des Grundfreibetrags in der Einkommensteuer","202"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","I. Finanzpolitik: Für mehr Wachstum und Beschäftigung","Finanzpolitisches Handlungsprogramm","203"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","I. Finanzpolitik: Für mehr Wachstum und Beschäftigung","Finanzbeziehungen zur Europäischen Union","205"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","I. Finanzpolitik: Für mehr Wachstum und Beschäftigung","Bedingungen für eine ausgewogene ökologische Steuerreform schaffen","209"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","II. Geldpolitik: Trotz Schwierigkeiten am Potentialpfad orientieren"," ","214"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","II. Geldpolitik: Trotz Schwierigkeiten am Potentialpfad orientieren","Eine nicht einfache Ausgangslage","214"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","II. Geldpolitik: Trotz Schwierigkeiten am Potentialpfad orientieren","Die Geldmengenkonzeption auf dem Prüfstand","216"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","II. Geldpolitik: Trotz Schwierigkeiten am Potentialpfad orientieren","Zu den Alternativen","220"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","II. Geldpolitik: Trotz Schwierigkeiten am Potentialpfad orientieren","Zielbestimmung für 1995","223"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","II. Geldpolitik: Trotz Schwierigkeiten am Potentialpfad orientieren","Die europäische Dimension","224"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","III. Lohnpolitik: Vorrang für neue Arbeitsplätze"," ","226"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","III. Lohnpolitik: Vorrang für neue Arbeitsplätze","Ostdeutschland: Pause bei der Lohnangleichung","226"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","III. Lohnpolitik: Vorrang für neue Arbeitsplätze","Westdeutschland: Den eingeschlagenen Kurs halten","226"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","IV. Außenwirtschaft: Vor großen Herausforderungen"," ","228"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","IV. Außenwirtschaft: Vor großen Herausforderungen","Erhöhter Anpassungsbedarf an weltwirtschaftliche Veränderungen","228"
"Viertes Kapitel: Zu den Politikbereichen im einzelnen","IV. Außenwirtschaft: Vor großen Herausforderungen","Für ein offenes Europa","232"
