"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Erstes Kapitel: Auf dem Wege zu einer europäischen Wirtschafts- und Währungsunion"," "," ","1"
"Erstes Kapitel: Auf dem Wege zu einer europäischen Wirtschafts- und Währungsunion","I. Stabilisierungspolitik in der Gemeinschaft"," ","1"
"Erstes Kapitel: Auf dem Wege zu einer europäischen Wirtschafts- und Währungsunion","I. Stabilisierungspolitik in der Gemeinschaft","Europäische Tatsachen","1"
"Erstes Kapitel: Auf dem Wege zu einer europäischen Wirtschafts- und Währungsunion","I. Stabilisierungspolitik in der Gemeinschaft","Der stabilisierungspolitische Spielraum der Länder - eine Restgröße oder mehr?","4"
"Erstes Kapitel: Auf dem Wege zu einer europäischen Wirtschafts- und Währungsunion","I. Stabilisierungspolitik in der Gemeinschaft","Die Lücke zwischen dem Verlust an nationaler Autonomie und gemeinschaftlichem Handeln","6"
"Erstes Kapitel: Auf dem Wege zu einer europäischen Wirtschafts- und Währungsunion","I. Stabilisierungspolitik in der Gemeinschaft","Die Konsequenzen einer währungspolitischen Vorgabe","7"
"Erstes Kapitel: Auf dem Wege zu einer europäischen Wirtschafts- und Währungsunion","II. Zyklus und Trend"," ","8"
"Erstes Kapitel: Auf dem Wege zu einer europäischen Wirtschafts- und Währungsunion","III. Außenbeziehungen"," ","20"
"Erstes Kapitel: Auf dem Wege zu einer europäischen Wirtschafts- und Währungsunion","III. Außenbeziehungen","Der Außenhandel mit Drittländern","20"
"Erstes Kapitel: Auf dem Wege zu einer europäischen Wirtschafts- und Währungsunion","III. Außenbeziehungen","Die Zahlungsbilanz der Gemeinschaft","22"
"Zweltes Kapitel: Zur Konjunkturlage"," "," ","25"
"Zweltes Kapitel: Zur Konjunkturlage","Teil A: Der europäische Rahmen 1972"," ","25"
"Zweltes Kapitel: Zur Konjunkturlage","Teil A: Der europäische Rahmen 1972","I. Wende zu neuem Aufschwung","25"
"Zweltes Kapitel: Zur Konjunkturlage","Teil A: Der europäische Rahmen 1972","Verstärkte Nachfrage von außen","25"
