"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Vorbemerkung"," "," ","1"
"Erstes Kapitel: Zur Konjunkturlage"," "," ","3"
"Erstes Kapitel: Zur Konjunkturlage","Teil A: Die Konjunktur in der Europäischen Gemeinschaft 1973"," ","3"
"Erstes Kapitel: Zur Konjunkturlage","I. Der weltwirtschaftliche Rahmen"," ","3"
"Erstes Kapitel: Zur Konjunkturlage","I. Der weltwirtschaftliche Rahmen","Hochkonjunktur und Inflation","3"
"Erstes Kapitel: Zur Konjunkturlage","I. Der weltwirtschaftliche Rahmen","Anhaltende währungspolitische Unsicherheiten","4"
"Erstes Kapitel: Zur Konjunkturlage","II. Hochkonjunktur in der Gemeinschaft"," ","11"
"Erstes Kapitel: Zur Konjunkturlage","II. Hochkonjunktur in der Gemeinschaft","Lebhafte Auslandsnachfrage","12"
"Erstes Kapitel: Zur Konjunkturlage","II. Hochkonjunktur in der Gemeinschaft","Vordringen der Investitionsnachfrage","12"
"Erstes Kapitel: Zur Konjunkturlage","II. Hochkonjunktur in der Gemeinschaft","Hohe Auslastung der Kapazitäten","12"
"Erstes Kapitel: Zur Konjunkturlage","II. Hochkonjunktur in der Gemeinschaft","Ausbreitung des Inflationsklimas","15"
"Erstes Kapitel: Zur Konjunkturlage","II. Hochkonjunktur in der Gemeinschaft","Regionale Differenzierung","16"
"Erstes Kapitel: Zur Konjunkturlage","III. Außenwirtschaft unter neuen Rahmenbedingungen"," ","16"
"Erstes Kapitel: Zur Konjunkturlage","III. Außenwirtschaft unter neuen Rahmenbedingungen","Warenverkehr im Zeichen der Erweiterung der Gemeinschaft","16"
"Erstes Kapitel: Zur Konjunkturlage","III. Außenwirtschaft unter neuen Rahmenbedingungen","Kapitalverkehr durch Block-Floating und Dirigismus geprägt","18"
"Erstes Kapitel: Zur Konjunkturlage","IV. Geld- und Kreditpolitik auf Restriktionskurs"," ","19"
"Erstes Kapitel: Zur Konjunkturlage","V. Starke Ausweitung der Staatshaushalte"," ","22"
