"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Kurzfassung Transformation gestalten: Bildung, Digitalisierung und Nachhaltigkeit"," "," ","1"
"Kurzfassung Transformation gestalten: Bildung, Digitalisierung und Nachhaltigkeit","Weitreichende Auswirkungen der Corona-Pandemie"," ","1"
"Kurzfassung Transformation gestalten: Bildung, Digitalisierung und Nachhaltigkeit","Die Transformation gestalten"," ","4"
"Kurzfassung Transformation gestalten: Bildung, Digitalisierung und Nachhaltigkeit","Die Transformation gestalten","Zur Transformation befähigen","4"
"Kurzfassung Transformation gestalten: Bildung, Digitalisierung und Nachhaltigkeit","Die Transformation gestalten","Geeignetes Umfeld für die Transformation schaffen","6"
"Kurzfassung Transformation gestalten: Bildung, Digitalisierung und Nachhaltigkeit","Die Transformation gestalten","Chancen der Transformation nutzen","8"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum"," "," ","10"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","I. Internationale Konjunktur"," ","12"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","I. Internationale Konjunktur","1. Die Entwicklung der Weltwirtschaft – Pandemie und Engpässe bestimmen die Konjunktur","12"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","I. Internationale Konjunktur","Entwicklung der Weltwirtschaft bis Herbst 2021","17"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","I. Internationale Konjunktur","Engpässe prägen die weitere weltwirtschaftliche Entwicklung","28"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","I. Internationale Konjunktur","Die großen Volkswirtschaften im Einzelnen","28"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","2. Euro-Raum – Zügige Erholung trotz Produktionshemmnissen"," ","34"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","2. Euro-Raum – Zügige Erholung trotz Produktionshemmnissen","Konjunkturelle Lage – Industrielle Stagnation, Dienstleistungen im Aufschwung","34"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","2. Euro-Raum – Zügige Erholung trotz Produktionshemmnissen","Ausblick – Das Wachstum setzt sich fort","41"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","3. Chancen und Risiken"," ","45"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","II. Deutsche Konjunktur"," ","47"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","II. Deutsche Konjunktur","1. Bisherige Entwicklung – Konsum erholt sich, aber Industrieproduktion stockt","49"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","II. Deutsche Konjunktur","Erneut kräftige Erholung der privaten Nachfrage im Sommer","51"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","II. Deutsche Konjunktur","Angebotsseitige Engpässe bremsen die Industrieproduktion","52"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","II. Deutsche Konjunktur","Seit Sommer wieder anziehendes Pandemiegeschehen","57"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","II. Deutsche Konjunktur","Rahmenbedingungen weiterhin günstig","59"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","II. Deutsche Konjunktur","2. Ausblick – Kräftiges Wachstum im nächsten Jahr","61"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","II. Deutsche Konjunktur","Wachstum dürfte im Winterhalbjahr 2021/22 gedämpft sein","61"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","II. Deutsche Konjunktur","Erholung des Außenhandels und der Investitionen erst im nächsten Jahr zu erwarten","65"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","II. Deutsche Konjunktur","3. Positive Signale auf dem Arbeitsmarkt","68"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","II. Deutsche Konjunktur","4. Verringerung der pandemiebedingten Mehrbelastungen der öffentlichen Finanzen ab dem Jahr 2022","71"
"Erstes Kapitel Konjunktur: Angebotsseitige Engpässe dämpfen Wachstum","II. Deutsche Konjunktur","5. Mittelfrist – Potenzialwachstum weiter rückläufig","74"
"Zweites Kapitel Fiskal- und Geldpolitik nach der Corona-Krise normalisieren"," "," ","88"
"Zweites Kapitel Fiskal- und Geldpolitik nach der Corona-Krise normalisieren","I. Einleitung: Corona-Krise und Verschuldung"," ","90"
"Zweites Kapitel Fiskal- und Geldpolitik nach der Corona-Krise normalisieren","II. Fiskalpolitik und Schulden: Der Weg aus der Corona-Krise"," ","92"
"Zweites Kapitel Fiskal- und Geldpolitik nach der Corona-Krise normalisieren","II. Fiskalpolitik und Schulden: Der Weg aus der Corona-Krise","1. Fiskalpolitik und Schuldentragfähigkeit in Europa","92"
"Zweites Kapitel Fiskal- und Geldpolitik nach der Corona-Krise normalisieren","II. Fiskalpolitik und Schulden: Der Weg aus der Corona-Krise","Schuldentragfähigkeit","92"
"Zweites Kapitel Fiskal- und Geldpolitik nach der Corona-Krise normalisieren","II. Fiskalpolitik und Schulden: Der Weg aus der Corona-Krise","Zinsausgabenentwicklung mit Risiken behaftet","98"
"Zweites Kapitel Fiskal- und Geldpolitik nach der Corona-Krise normalisieren","II. Fiskalpolitik und Schulden: Der Weg aus der Corona-Krise","Risiken für die Finanzstabilität","102"
"Zweites Kapitel Fiskal- und Geldpolitik nach der Corona-Krise normalisieren","II. Fiskalpolitik und Schulden: Der Weg aus der Corona-Krise","Zur Diskussion gestellt: Zwei unterschiedliche Sichtweisen zur Anwendung und Reform der Europäischen Fiskalregeln","107"
"Zweites Kapitel Fiskal- und Geldpolitik nach der Corona-Krise normalisieren","II. Fiskalpolitik und Schulden: Der Weg aus der Corona-Krise","2. Europäische Fiskalregeln (Veronika Grimm und Volker Wieland)","107"
"Zweites Kapitel Fiskal- und Geldpolitik nach der Corona-Krise normalisieren","II. Fiskalpolitik und Schulden: Der Weg aus der Corona-Krise","Fiskalregeln einhalten und wirtschaftliche Erholung sichern","107"
"Zweites Kapitel Fiskal- und Geldpolitik nach der Corona-Krise normalisieren","II. Fiskalpolitik und Schulden: Der Weg aus der Corona-Krise","Fiskalregeln reformieren, um in guten Zeiten Resilienz zu stärken","112"
