"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Kurzfassung"," "," ","1"
"Kurzfassung","Für eine zukunftsorientierte Wirtschaftspolitik"," ","1"
"Kurzfassung","Kräftiger Aufschwung, beste Bedingungen für Reformen"," ","1"
"Kurzfassung","Geldpolitische Wende, steigende Risiken im Finanzsystem"," ","3"
"Kurzfassung","Stabilität für den Euro-Raum"," ","4"
"Kurzfassung","Erneuerung der Europäischen Union"," ","5"
"Kurzfassung","Globalisierung"," ","6"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik"," "," ","8"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","I. Für eine zukunftsorientierte Wirtschaftspolitik"," ","9"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","II. Kräftiger Aufschwung, geldpolitische Wende"," ","11"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","II. Kräftiger Aufschwung, geldpolitische Wende","1. Kräftiger Aufschwung im Euro-Raum","12"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","II. Kräftiger Aufschwung, geldpolitische Wende","2. Strategie für die geldpolitische Wende im Euro-Raum","15"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","II. Kräftiger Aufschwung, geldpolitische Wende","3. Steigende Risiken im Finanzsystem","17"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","III. Nachhaltige Wirtschaftspolitik"," ","18"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","III. Nachhaltige Wirtschaftspolitik","1. Steigerung des Arbeitskräftepotenzials","19"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","III. Nachhaltige Wirtschaftspolitik","2. Solide Finanzpolitik notwendig","22"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","III. Nachhaltige Wirtschaftspolitik","3. Finanzpolitische Herausforderungen für Länder und Gemeinden","26"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","III. Nachhaltige Wirtschaftspolitik","4. Vorausschauende Reformen der Altersvorsorge","28"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","III. Nachhaltige Wirtschaftspolitik","5. Effizienzpotenziale bei der Gesundheitsversorgung","29"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","IV. Digitalisierung als Chance"," ","31"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","IV. Digitalisierung als Chance","1. Für einen innovationsoffenen Ordnungsrahmen","31"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","IV. Digitalisierung als Chance","2. Gute Verfassung des Arbeitsmarkts","33"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","IV. Digitalisierung als Chance","3. Digitale Arbeitswelt der Zukunft","35"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","V. Mehr Markt im Klimaschutz"," ","37"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","VI. Stabilität für den Euro-Raum"," ","39"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","VI. Stabilität für den Euro-Raum","1. Konvergenz der wirtschaftlichen Leistungsfähigkeit durch Reformen","40"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","VI. Stabilität für den Euro-Raum","2. Priorität für eine solide nationale Fiskalpolitik","41"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","VI. Stabilität für den Euro-Raum","3. Vor- und Nachteile fiskalischer Ausgleichsmechanismen","45"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","VI. Stabilität für den Euro-Raum","4. Banken- und Kapitalmarktunion vervollständigen","48"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","VI. Stabilität für den Euro-Raum","5. Stärkung des Europäischen Stabilitätsmechanismus","51"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","VI. Stabilität für den Euro-Raum","6. Bedingungen für die Schaffung sicherer Wertpapiere im Euro-Raum","53"
"Erstes KapitelFür eine zukunftsorientierte Wirtschaftspolitik","VII. Erneuerung der Europäischen Union"," ","55"
