"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Vorschau"," "," ","1"
"Die Lage"," "," ","1"
"Die voraussichtliche Entwicklung"," "," ","1"
"Erstes Kapitel: Zur Konjunkturlage"," "," ","2"
"Erstes Kapitel: Zur Konjunkturlage","I. Der internationale Rahmen 1971: Währungsunruhen, schwächeres Wachstum, anhaltende Kosteninflation"," ","2"
"Erstes Kapitel: Zur Konjunkturlage","I. Der internationale Rahmen 1971: Währungsunruhen, schwächeres Wachstum, anhaltende Kosteninflation","Weltwährungssystem in der Krise","2"
"Erstes Kapitel: Zur Konjunkturlage","I. Der internationale Rahmen 1971: Währungsunruhen, schwächeres Wachstum, anhaltende Kosteninflation","Der Weg in die Krise","2"
"Erstes Kapitel: Zur Konjunkturlage","I. Der internationale Rahmen 1971: Währungsunruhen, schwächeres Wachstum, anhaltende Kosteninflation","Unmittelbare Ursachen und Folgen der Maßnahmen vom 15. August","5"
"Erstes Kapitel: Zur Konjunkturlage","I. Der internationale Rahmen 1971: Währungsunruhen, schwächeres Wachstum, anhaltende Kosteninflation","Schwacher Aufschwung in den Vereinigten Staaten","5"
"Erstes Kapitel: Zur Konjunkturlage","I. Der internationale Rahmen 1971: Währungsunruhen, schwächeres Wachstum, anhaltende Kosteninflation","Entspannung in Kontinentaleuropa","12"
"Erstes Kapitel: Zur Konjunkturlage","I. Der internationale Rahmen 1971: Währungsunruhen, schwächeres Wachstum, anhaltende Kosteninflation","Stagnation in Großbritannien, Ende des Booms in Japan","14"
"Erstes Kapitel: Zur Konjunkturlage","I. Der internationale Rahmen 1971: Währungsunruhen, schwächeres Wachstum, anhaltende Kosteninflation","Weltweit kosteninduzierte Inflation","16"
"Erstes Kapitel: Zur Konjunkturlage","II. Entspannung ohne Stabilität"," ","18"
"Erstes Kapitel: Zur Konjunkturlage","II. Entspannung ohne Stabilität","Zurückhaltende Auslandsnachfrage","20"
"Erstes Kapitel: Zur Konjunkturlage","II. Entspannung ohne Stabilität","Labile Investitionsneigung","21"
"Erstes Kapitel: Zur Konjunkturlage","II. Entspannung ohne Stabilität","Differenzierte Baukonjunktur","22"
"Erstes Kapitel: Zur Konjunkturlage","II. Entspannung ohne Stabilität","Zurückhaltende Lagerdispositionen","23"
"Erstes Kapitel: Zur Konjunkturlage","II. Entspannung ohne Stabilität","Kräftig expandierende Verbrauchsnachfrage","23"
"Erstes Kapitel: Zur Konjunkturlage","II. Entspannung ohne Stabilität","Nachlassende Überforderung des Produktionspotentials","24"
"Erstes Kapitel: Zur Konjunkturlage","II. Entspannung ohne Stabilität","Deutliche Entspannung am Arbeitsmarkt","28"
"Erstes Kapitel: Zur Konjunkturlage","II. Entspannung ohne Stabilität","Abnehmender Importsog","29"
"Erstes Kapitel: Zur Konjunkturlage","II. Entspannung ohne Stabilität","Spätes Abklingen des Verteilungskampfes","30"
"Erstes Kapitel: Zur Konjunkturlage","II. Entspannung ohne Stabilität","Zur Einkommenssituation der Landwirtschaft","38"
"Erstes Kapitel: Zur Konjunkturlage","II. Entspannung ohne Stabilität","Preisklima nur wenig abgekühlt","40"
"Erstes Kapitel: Zur Konjunkturlage","III. Die Außenwirtschaft unter dem Einfluß des „Floating“"," ","43"
"Erstes Kapitel: Zur Konjunkturlage","III. Die Außenwirtschaft unter dem Einfluß des „Floating“","Kontinuierliche Aufwertung ohne nennenswerten Abbau der Devisenreserven","43"
"Erstes Kapitel: Zur Konjunkturlage","III. Die Außenwirtschaft unter dem Einfluß des „Floating“","Verschärfter Wettbewerb im Außenhandel","46"
"Erstes Kapitel: Zur Konjunkturlage","III. Die Außenwirtschaft unter dem Einfluß des „Floating“","Kaum veränderte außenwirtschaftliche Überschüsse","49"
"Erstes Kapitel: Zur Konjunkturlage","III. Die Außenwirtschaft unter dem Einfluß des „Floating“","Kapitalverkehr mit dem Ausland: Reflex der Kredit- und Währungspolitik","50"
"Erstes Kapitel: Zur Konjunkturlage","IV. Geld- und Kreditpolitik: Neuer Handlungsspielraum nach der Wechselkursfreigabe"," ","52"
"Erstes Kapitel: Zur Konjunkturlage","IV. Geld- und Kreditpolitik: Neuer Handlungsspielraum nach der Wechselkursfreigabe","Restriktionspolitik durch Devisenzuflüsse unterlaufen","52"
"Erstes Kapitel: Zur Konjunkturlage","IV. Geld- und Kreditpolitik: Neuer Handlungsspielraum nach der Wechselkursfreigabe","Exkurs: Bankenliquidität, Mindestreservesätze und Kreditschöpfung","55"
"Erstes Kapitel: Zur Konjunkturlage","IV. Geld- und Kreditpolitik: Neuer Handlungsspielraum nach der Wechselkursfreigabe","Bundesbank nutzt erweiterten Handlungsspielraum","58"
"Erstes Kapitel: Zur Konjunkturlage","V. Öffentliche Haushalte konjunkturgerecht?"," ","60"
"Erstes Kapitel: Zur Konjunkturlage","V. Öffentliche Haushalte konjunkturgerecht?","Ausgabenexpansion trotz Restriktion","63"
"Erstes Kapitel: Zur Konjunkturlage","V. Öffentliche Haushalte konjunkturgerecht?","Unvorhergesehene Steuermehreinnahmen 1971 nach Steuerausfällen 1970","65"
"Erstes Kapitel: Zur Konjunkturlage","V. Öffentliche Haushalte konjunkturgerecht?","Expansive Wirkungen der Finanzpolitik","67"
"Erstes Kapitel: Zur Konjunkturlage","V. Öffentliche Haushalte konjunkturgerecht?","Auch konsolidierter Haushalt expansiv","71"
"Erstes Kapitel: Zur Konjunkturlage","V. Öffentliche Haushalte konjunkturgerecht?","Öffentliche Haushalte bei Inflation","71"
"Erstes Kapitel: Zur Konjunkturlage","VI. Der Gesamtindikator zur Konjunkturdiagnose – nach Unterbrechung wieder abwärts gerichtet"," ","73"
"Zweites Kapitel: Die voraussehbare Entwicklung"," "," ","75"
"Zweites Kapitel: Die voraussehbare Entwicklung","I. Die Weltkonjunktur im Jahre 1972"," ","75"
"Zweites Kapitel: Die voraussehbare Entwicklung","II. Die öffentlichen Finanzen im Jahre 1972"," ","78"
"Zweites Kapitel: Die voraussehbare Entwicklung","III. Die voraussichtliche Entwicklung der Binnenkonjunktur"," ","81"
"Drittes Kapitel: Anschluß an die Zukunft"," "," ","87"
"Drittes Kapitel: Anschluß an die Zukunft","I. Die Situation im Herbst 1971"," ","87"
"Drittes Kapitel: Anschluß an die Zukunft","II. Die Wirtschaftspolitik 1971 im Rückblick"," ","88"
"Drittes Kapitel: Anschluß an die Zukunft","III. Für eine neue Grundlage: Forderungen an die Währungspolitik"," ","90"
"Drittes Kapitel: Anschluß an die Zukunft","III. Für eine neue Grundlage: Forderungen an die Währungspolitik","Die internationale Seite: Reform des Weltwährungssystems","90"
"Drittes Kapitel: Anschluß an die Zukunft","III. Für eine neue Grundlage: Forderungen an die Währungspolitik","Die europäische Seite: Weltwährungssystem und europäische Währungsunion","99"
