"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet"," "," ","14"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","I. Internationale Konjunktur"," ","16"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","I. Internationale Konjunktur","1. Weltwirtschaftliche Abkühlung – Hohe Inflation und geldpolitische Straffung","16"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","I. Internationale Konjunktur"," Die Entwicklung der Weltwirtschaft bis Herbst 2022","16"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","I. Internationale Konjunktur"," Hohe Inflationsraten und eine große Unsicherheit prägen die weitere
wirtschaftliche Entwicklung","26"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","I. Internationale Konjunktur"," Die großen Volkswirtschaften im Einzelnen","27"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","I. Internationale Konjunktur","2. Euro-Raum: Konjunkturelle Aussichten erheblich verschlechtert","33"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","I. Internationale Konjunktur"," Heterogene Entwicklung im Sommerhalbjahr 2022","33"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","I. Internationale Konjunktur"," Preissteigerungen belasten das Wachstum","43"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","I. Internationale Konjunktur","3. Chancen und Risiken","46"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","II. Deutsche Konjunktur"," ","47"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","II. Deutsche Konjunktur","1. Rückblick: Erholung bei Dienstleistungen und steigender Energiepreisdruck","47"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","II. Deutsche Konjunktur","2. Rahmenbedingungen: Anhaltender Energiepreisdruck","53"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","II. Deutsche Konjunktur","3. Ausblick: Ausgeprägter und anhaltender Abschwung","56"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","II. Deutsche Konjunktur","4. Arbeitsmarktdynamik lässt nach","60"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","II. Deutsche Konjunktur","5. Öffentliche Finanzen durch starken Anstieg nominaler Größen getrieben","64"
"Erstes Kapitel
Konjunktureller Ausblick durch Energiekrise
massiv belastet","II. Deutsche Konjunktur","6. Mittelfristprojektion: Potenzialwachstum rückläufig","67"
"Zweites Kapitel
Inflation und Geldpolitik"," "," ","84"
"Zweites Kapitel
Inflation und Geldpolitik","I. Einleitung: Inflation und Geldpolitik"," ","86"
"Zweites Kapitel
Inflation und Geldpolitik","II. Determinanten der aktuellen Inflationsentwicklung"," ","88"
"Zweites Kapitel
Inflation und Geldpolitik","II. Determinanten der aktuellen Inflationsentwicklung","1. Hohe Güterpreisinflation","88"
"Zweites Kapitel
Inflation und Geldpolitik","II. Determinanten der aktuellen Inflationsentwicklung","2. Angebotsseitige Störungen und hohe Nachfrage","92"
"Zweites Kapitel
Inflation und Geldpolitik","II. Determinanten der aktuellen Inflationsentwicklung","3. Mittelfristige Triebkräfte und Persistenz der Inflation","95"
"Zweites Kapitel
Inflation und Geldpolitik","II. Determinanten der aktuellen Inflationsentwicklung"," Inflationserwartungen steigen, sind aber noch verankert","95"
"Zweites Kapitel
Inflation und Geldpolitik","II. Determinanten der aktuellen Inflationsentwicklung"," Lohndynamik und Inflation","97"
"Zweites Kapitel
Inflation und Geldpolitik","II. Determinanten der aktuellen Inflationsentwicklung"," Persistenz des Inflationsprozesses gestiegen","99"
"Zweites Kapitel
Inflation und Geldpolitik","II. Determinanten der aktuellen Inflationsentwicklung"," Geldmengenwachstum und Inflation","102"
"Zweites Kapitel
Inflation und Geldpolitik","III. Auswirkungen einer erhöhten Inflation"," ","104"
"Zweites Kapitel
Inflation und Geldpolitik","III. Auswirkungen einer erhöhten Inflation","1. Wohlfahrtskosten erhöhter Inflation","104"
"Zweites Kapitel
Inflation und Geldpolitik","III. Auswirkungen einer erhöhten Inflation","2. Auswirkungen der Inflation auf verschiedene Haushaltsgruppen","107"
"Zweites Kapitel
Inflation und Geldpolitik","III. Auswirkungen einer erhöhten Inflation","3. Langfristige Verhaltenseffekte von Hochinflationsphasen","112"
"Zweites Kapitel
Inflation und Geldpolitik","IV. Maßnahmen zur Bekämpfung der Inflation"," ","115"
"Zweites Kapitel
Inflation und Geldpolitik","IV. Maßnahmen zur Bekämpfung der Inflation","1. Geldpolitische Einordnung","115"
"Zweites Kapitel
Inflation und Geldpolitik","IV. Maßnahmen zur Bekämpfung der Inflation"," Zinsregeln legen entschlossene geldpolitische Reaktion im
Euro-Raum nahe","119"
"Zweites Kapitel
Inflation und Geldpolitik","IV. Maßnahmen zur Bekämpfung der Inflation"," Aktuelle geldpolitische Entscheidungen im Euro-Raum","122"
"Zweites Kapitel
Inflation und Geldpolitik","IV. Maßnahmen zur Bekämpfung der Inflation"," Geldpolitisches Zwischenfazit","126"
"Zweites Kapitel
Inflation und Geldpolitik","IV. Maßnahmen zur Bekämpfung der Inflation","2. Flankierende Maßnahmen","126"
"Drittes Kapitel
Deutsche Finanzpolitik vor schwierigen
Herausforderungen"," "," ","140"
"Drittes Kapitel
Deutsche Finanzpolitik vor schwierigen
Herausforderungen","I. Einleitung"," ","142"
"Drittes Kapitel
Deutsche Finanzpolitik vor schwierigen
Herausforderungen","II. Finanzpolitische Ausgangslage"," ","144"
"Drittes Kapitel
Deutsche Finanzpolitik vor schwierigen
Herausforderungen","III. Krisenbedingte Anforderungen an die Finanzpolitik"," ","149"
"Drittes Kapitel
Deutsche Finanzpolitik vor schwierigen
Herausforderungen","III. Krisenbedingte Anforderungen an die Finanzpolitik","1. Krisenbedingte Sicherung der Energieversorgung und Ausbau
der Verteidigungsfähigkeit","149"
"Drittes Kapitel
Deutsche Finanzpolitik vor schwierigen
Herausforderungen","III. Krisenbedingte Anforderungen an die Finanzpolitik","2. Krisenbedingte Entlastungsmaßnahmen","151"
"Drittes Kapitel
Deutsche Finanzpolitik vor schwierigen
Herausforderungen","III. Krisenbedingte Anforderungen an die Finanzpolitik","3. Verteilungswirkung der Entlastungen für Haushalte","153"
"Drittes Kapitel
Deutsche Finanzpolitik vor schwierigen
Herausforderungen","IV. Wirtschaftspolitisches Fazit"," ","155"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik"," "," ","162"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","I. Einleitung"," ","164"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","II. Finanzpolitische Ausgangslage und Perspektiven"," ","166"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","II. Finanzpolitische Ausgangslage und Perspektiven","1. Folgen der Corona-Pandemie","166"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","II. Finanzpolitische Ausgangslage und Perspektiven","2. Auswirkungen des Krieges","169"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","II. Finanzpolitische Ausgangslage und Perspektiven"," Kurz- und langfristige Auswirkungen der Inflation auf die Finanzpolitik","170"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","II. Finanzpolitische Ausgangslage und Perspektiven"," Auswirkungen auf Zinsausgaben","171"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","III. Die Reformdiskussion in der Wirtschafts- und Währungsunion"," ","175"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","III. Die Reformdiskussion in der Wirtschafts- und Währungsunion","1. Im Spannungsfeld zwischen Schuldentragfähigkeit und staatlicher
Aufgabenerfüllung","175"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","III. Die Reformdiskussion in der Wirtschafts- und Währungsunion","2. Dimensionen einer Reform der Wirtschafts- und Währungsunion:
Ein Überblick","178"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","III. Die Reformdiskussion in der Wirtschafts- und Währungsunion","3. Fiskalregeln","179"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","III. Die Reformdiskussion in der Wirtschafts- und Währungsunion"," Tragfähigkeit gewährleisten","182"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","III. Die Reformdiskussion in der Wirtschafts- und Währungsunion"," Konjunktur stabilisieren","189"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","III. Die Reformdiskussion in der Wirtschafts- und Währungsunion"," Transformative und wachstumsfördernde Ausgaben priorisieren","189"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","III. Die Reformdiskussion in der Wirtschafts- und Währungsunion","4. Fiskalkapazität","191"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","III. Die Reformdiskussion in der Wirtschafts- und Währungsunion","5. Finanzmarktarchitektur","194"
"Viertes Kapitel
Reformperspektiven für die europäische Fiskalpolitik","IV. Wirtschaftspolitisches Fazit"," ","198"
"Fünftes Kapitel
Energiekrise und Strukturwandel: Perspektiven für die
deutsche Industrie"," "," ","208"
"Fünftes Kapitel
Energiekrise und Strukturwandel: Perspektiven für die
deutsche Industrie","I. Einleitung"," ","210"
"Fünftes Kapitel
Energiekrise und Strukturwandel: Perspektiven für die
deutsche Industrie","II. Angespannte Lage auf den Energiemärkten"," ","212"
"Fünftes Kapitel
Energiekrise und Strukturwandel: Perspektiven für die
deutsche Industrie","II. Angespannte Lage auf den Energiemärkten","1. Ausgangslage vor dem Krieg","212"
