```csv
"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Kurzfassung:Den Strukturwandel meistern"," "," ","1"
"1. Konjunkturelle Entwicklungen"," "," ","1"
"2. Strukturelle Herausforderungen"," "," ","3"
"2. Strukturelle Herausforderungen"," Nutzung und Begleitung des Strukturwandels"," ","3"
"2. Strukturelle Herausforderungen"," Förderung von Forschung und Innovation"," ","5"
"2. Strukturelle Herausforderungen"," Heben der Potenziale im Humanvermögen"," ","7"
"2. Strukturelle Herausforderungen"," Steigerung der privaten und öffentlichen Investitionen"," ","8"
"2. Strukturelle Herausforderungen"," Koordination auf internationaler Ebene"," ","8"
"Erstes KapitelKonjunktur: Deutliche Abkühlung"," "," ","10"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","I. Internationale Konjunktur: Nachlassende Dynamik"," ","12"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","I. Internationale Konjunktur: Nachlassende Dynamik","1. Nachlassende Dynamik der Weltwirtschaft","12"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","I. Internationale Konjunktur: Nachlassende Dynamik"," Globaler Industrieabschwung","14"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","I. Internationale Konjunktur: Nachlassende Dynamik"," Ausblick","17"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","I. Internationale Konjunktur: Nachlassende Dynamik","2. Chancen und Risiken","19"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","I. Internationale Konjunktur: Nachlassende Dynamik","3. USA: Vorläufiges Ende der Hochkonjunktur","20"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","I. Internationale Konjunktur: Nachlassende Dynamik","4. China: Wachstum unter Druck","23"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","I. Internationale Konjunktur: Nachlassende Dynamik","5. Vereinigtes Königreich: Schlingerkurs Richtung Brexit?","25"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","II. Euro-Raum: Konjunkturelle Abschwächung, geldpolitische Lockerung"," ","28"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","II. Euro-Raum: Konjunkturelle Abschwächung, geldpolitische Lockerung","1. Konjunkturelle Lage","29"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","II. Euro-Raum: Konjunkturelle Abschwächung, geldpolitische Lockerung","2. Starke geldpolitische Lockerung","31"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","II. Euro-Raum: Konjunkturelle Abschwächung, geldpolitische Lockerung","3. Einordnung der geldpolitischen Maßnahmen","33"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","II. Euro-Raum: Konjunkturelle Abschwächung, geldpolitische Lockerung","4. Ausblick","39"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","III. Deutsche Konjunktur: Im Abschwung"," ","41"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","III. Deutsche Konjunktur: Im Abschwung","1. Konjunkturelle Zweiteilung hält bislang an","42"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","III. Deutsche Konjunktur: Im Abschwung"," Rezession in der Industrie","42"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","III. Deutsche Konjunktur: Im Abschwung"," Schwieriges außenwirtschaftliches Umfeld","44"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","III. Deutsche Konjunktur: Im Abschwung"," Robuste Binnenwirtschaft","46"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","III. Deutsche Konjunktur: Im Abschwung"," Günstige Rahmenbedingungen für den Konsum","47"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","III. Deutsche Konjunktur: Im Abschwung","2. Ausblick: Keine schnelle Belebung in Sicht","50"
"Erstes KapitelKonjunktur: Deutliche Abkühlung","III. Deutsche Konjunktur: Im Abschwung"," Rezessionswahrscheinlichkeit deutlich erhöht","50"
