"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Eine kürzere Fassung"," "," ","1"
"Erstes Kapitel: Die wirtschaftliche Lage"," "," ","23"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil A: Der internationale Rahmen"," ","23"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil A: Der internationale Rahmen","I. Aufschwung mit Risiken","23"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil A: Der internationale Rahmen","II. Die Vereinigten Staaten und die Weltwirtschaft","26"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil A: Der internationale Rahmen","Vereinigte Staaten in der Führung","26"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil A: Der internationale Rahmen","Hohe Zinsen, starker Dollar","28"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil A: Der internationale Rahmen","III. Aufschwung in Japan, geringe Dynamik in Europa","31"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil A: Der internationale Rahmen","Japan im Zeichen hoher Leistungsbilanzüberschüsse","31"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil A: Der internationale Rahmen","Europa: Aufschwung ohne Kraft","31"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil A: Der internationale Rahmen","IV. Lebhafter Welthandel, anhaltende Verschuldungsprobleme","41"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil A: Der internationale Rahmen","V. Europäische Gemeinschaft: Nationale Interessen vor Gemeinsamkeit","44"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984"," ","49"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","I. Überblick","49"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","II. Export als Konjunkturmotor","50"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Kräftige Impulse vom Welthandel","50"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Mehr Nachfrage, höhere Gewinnmargen – immer noch hohe Zinsen","52"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Höhere Einkommen – höherer privater Verbrauch","58"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Mäßige Ausweitung der Staatsnachfrage","59"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Gefestigter Produktionsanstieg","59"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Höherer Auslastungsgrad bei geringem Potentialwachstum","61"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","III. Rückschlag in der Bauwirtschaft","63"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","IV. Kein Durchbruch am Arbeitsmarkt","66"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Zur Struktur der Arbeitslosigkeit","69"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Jugendliche beim Übergang in die Berufswelt","73"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Arbeitsmarktpolitik bei anhaltender Unterbeschäftigung","74"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","V. Neue Akzente in der Tarifpolitik","77"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","VI. Kapitalstruktur und Rentabilität der Unternehmen auf mittlere Sicht","84"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Mangel an Eigenkapital","84"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Noch unzureichende Kapitalrentabilität","88"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Entwicklung und Verteilung der Rendite im verarbeitenden Gewerbe","90"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","VII. Geringer Geldwertschwund","92"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","VIII. Mehr Produktion – mehr Einkommen","96"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Zur Reallohnposition der Arbeitnehmer","99"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","IX. Außenwirtschaftliches Gleichgewicht","103"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Kräftiger Anstieg der Ausfuhr","103"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Geringerer Einfluß des Dollarkurses auf den Kapitalverkehr","106"
"Erstes Kapitel: Die wirtschaftliche Lage","Teil B: Die Binnenkonjunktur 1984","Ohne Protektionismus wettbewerbsfähig bleiben","108"
"Erstes Kapitel: Die wirtschaftliche Lage","X. Geldpolitik: Sicherung der Erfolge bei der Stabilisierung des Geldwertes"," ","111"
"Erstes Kapitel: Die wirtschaftliche Lage","X. Geldpolitik: Sicherung der Erfolge bei der Stabilisierung des Geldwertes","Zielgerechte Expansion der Zentralbankgeldmenge","111"
"Erstes Kapitel: Die wirtschaftliche Lage","X. Geldpolitik: Sicherung der Erfolge bei der Stabilisierung des Geldwertes","Zur Feinsteuerung","116"
"Erstes Kapitel: Die wirtschaftliche Lage","X. Geldpolitik: Sicherung der Erfolge bei der Stabilisierung des Geldwertes","Abgeschwächte monetäre Expansion","118"
"Erstes Kapitel: Die wirtschaftliche Lage","X. Geldpolitik: Sicherung der Erfolge bei der Stabilisierung des Geldwertes","Mehr privater Kredit, weniger öffentlicher Kredit","119"
"Erstes Kapitel: Die wirtschaftliche Lage","XI. Finanzpolitik: Weiter sinkende Defizite"," ","124"
"Erstes Kapitel: Die wirtschaftliche Lage","XI. Finanzpolitik: Weiter sinkende Defizite","Geringer Anstieg der öffentlichen Ausgaben","124"
"Erstes Kapitel: Die wirtschaftliche Lage","XI. Finanzpolitik: Weiter sinkende Defizite","Veränderte Steuerstruktur","131"
"Erstes Kapitel: Die wirtschaftliche Lage","XI. Finanzpolitik: Weiter sinkende Defizite","Abnehmende konjunkturelle Impulse im Aufschwung","133"
