"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Erstes Kapitel: Die wirtschaftliche Lage"," "," ","20"
"Erstes Kapitel: Die wirtschaftliche Lage","I. Die deutsche Wirtschaft im Jahre 1995: Ein Überblick"," ","20"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Der weltwirtschaftliche Rahmen: Aufwärtsentwicklung mit weniger Schwung"," ","25"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Der weltwirtschaftliche Rahmen: Aufwärtsentwicklung mit weniger Schwung","Konjunkturelle Erholung in Westeuropa setzt sich fort","30"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Der weltwirtschaftliche Rahmen: Aufwärtsentwicklung mit weniger Schwung","Die Entwicklung in Mittel- und Osteuropa bleibt uneinheitlich","35"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Der weltwirtschaftliche Rahmen: Aufwärtsentwicklung mit weniger Schwung","Abgeschwächter Aufschwung in Nordamerika - anhaltende Ex-pansion in Lateinamerika","38"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Der weltwirtschaftliche Rahmen: Aufwärtsentwicklung mit weniger Schwung","Keine Erholung der japanischen Wirtschaft - unvermindertes Wachstum in den Schwellenländern Ostasiens","42"
"Erstes Kapitel: Die wirtschaftliche Lage","II. Der weltwirtschaftliche Rahmen: Aufwärtsentwicklung mit weniger Schwung","Herausforderungen für den Internationalen Währungsfonds und die Welthandelsorganisation","44"
"Erstes Kapitel: Die wirtschaftliche Lage","III. Der Angebotsspielraum der deutschen Wirtschaft: Schwaches Potentialwachstum"," ","51"
"Erstes Kapitel: Die wirtschaftliche Lage","III. Der Angebotsspielraum der deutschen Wirtschaft: Schwaches Potentialwachstum","Wachstum des Kapitalstocks und Entwicklung der Kapitalprodukti-vität in Westdeutschland","52"
"Erstes Kapitel: Die wirtschaftliche Lage","III. Der Angebotsspielraum der deutschen Wirtschaft: Schwaches Potentialwachstum","Zum Anlagevermögen in Ostdeutschland","54"
"Erstes Kapitel: Die wirtschaftliche Lage","III. Der Angebotsspielraum der deutschen Wirtschaft: Schwaches Potentialwachstum","Exkurs: Schätzung des Produktionspotentials","56"
"Erstes Kapitel: Die wirtschaftliche Lage","IV. Konjunktur nur verhalten aufwärts gerichtet"," ","60"
"Erstes Kapitel: Die wirtschaftliche Lage","IV. Konjunktur nur verhalten aufwärts gerichtet","Nachlassender Schwung im Außenhandel","61"
"Erstes Kapitel: Die wirtschaftliche Lage","IV. Konjunktur nur verhalten aufwärts gerichtet","Gedämpfte Belebung der Investitionstätigkeit in Westdeutschland - anhaltende Investitionsdynamik in Ostdeutschland","66"
"Erstes Kapitel: Die wirtschaftliche Lage","IV. Konjunktur nur verhalten aufwärts gerichtet","Konjunkturelle Impulse durch Bauinvestitionen deutlich schwächer","71"
"Erstes Kapitel: Die wirtschaftliche Lage","IV. Konjunktur nur verhalten aufwärts gerichtet","Privater Verbrauch bleibt verhalten","72"
"Erstes Kapitel: Die wirtschaftliche Lage","IV. Konjunktur nur verhalten aufwärts gerichtet","Zu Umstellungen in der amtlichen Statistik","75"
"Erstes Kapitel: Die wirtschaftliche Lage","V. Neue Bundesländer: Weitere Fortschritte"," ","78"
"Erstes Kapitel: Die wirtschaftliche Lage","V. Neue Bundesländer: Weitere Fortschritte","Zu den einzelnen Wirtschaftsbereichen: Aufbau kommt weiter voran","78"
"Erstes Kapitel: Die wirtschaftliche Lage","V. Neue Bundesländer: Weitere Fortschritte","Festigung des Unternehmenssektors","83"
"Erstes Kapitel: Die wirtschaftliche Lage","V. Neue Bundesländer: Weitere Fortschritte","Zur regionalen Entwicklung in den neuen Bundesländern","89"
"Erstes Kapitel: Die wirtschaftliche Lage","V. Neue Bundesländer: Weitere Fortschritte","Erfahrungen mit der Wirtschaftsförderung in den neuen Bundes-ländern","90"
"Erstes Kapitel: Die wirtschaftliche Lage","VI. Der Preisniveaustabilität nähergekommen"," ","95"
"Erstes Kapitel: Die wirtschaftliche Lage","VII. Der Arbeitsmarkt: Keine durchgreifende Besserung, übermäßige Tarif-lohnerhöhungen"," ","99"
"Erstes Kapitel: Die wirtschaftliche Lage","VII. Der Arbeitsmarkt: Keine durchgreifende Besserung, übermäßige Tarif-lohnerhöhungen","Beschäftigung unverändert niedrig","100"
"Erstes Kapitel: Die wirtschaftliche Lage","VII. Der Arbeitsmarkt: Keine durchgreifende Besserung, übermäßige Tarif-lohnerhöhungen","Arbeitslosigkeit auf hohem Niveau","105"
"Erstes Kapitel: Die wirtschaftliche Lage","VII. Der Arbeitsmarkt: Keine durchgreifende Besserung, übermäßige Tarif-lohnerhöhungen","Deutliche Tarillohnerhöhungen","108"
