"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Eine kürzere Fassung"," "," ","1"
"Erstes Kapitel: Die Konjunkturlage"," "," ","11"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen"," ","11"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","I. Weltkonjunktur im Zeichen erneuter Ölteuerung","11"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","Erneute Preissteigerungen bei zumeist noch hoher Arbeitslosigkeit","13"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","Jüngste Konjunkturtendenzen","15"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","II. Veränderte Währungsprobleme","25"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","Äußerliche Stabilisierung des Dollar","28"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","Europäisches Währungssystem: Erste Erfahrungen","29"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","Harmonisierung der Geldpolitik in Europa?","34"
"Erstes Kapitel: Die Konjunkturlage","Teil A: Der internationale Rahmen","Finanzpolitik in Europa","35"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979"," ","36"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","I. Überblick","36"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","II. Kräftiger Aufschwung","38"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","Deutlicher Schub bei den Investitionen","38"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","Geringere Angebotsprobleme","41"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","Privater Verbrauch durch Preissteigerungen belastet","47"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","Noch deutliche Ausweitung der staatlichen Nachfrage","48"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","Höhepunkt der Baukonjunktur überschritten?","48"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","Lebhafte Auslandsnachfrage bei weiterem Vordringen der Importe","49"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","Deutliche Ausweitung der Produktion","50"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","Nur mäßiger Produktivitätsfortschritt","52"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","Spürbarer Beschäftigungsanstieg","54"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","Noch immer schwaches Wachstum des Produktionspotentials","56"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","III. Fortschritte am Arbeitsmarkt","58"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","Aufschwung durch Engpässe auf dem Arbeitsmarkt behindert?","58"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1979","Unterschiedliche Entwicklung der Beschäftigungschancen","59"
