"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Erstes Kapitel: Zusammenfassung Erfolge im Ausland – Herausforderungen im Inland"," "," ","1"
"Erstes Kapitel: Zusammenfassung Erfolge im Ausland – Herausforderungen im Inland","I. Weltwirtschaft: Aufschwung auf breitem Fundament"," ","2"
"Erstes Kapitel: Zusammenfassung Erfolge im Ausland – Herausforderungen im Inland","II. Deutschland: Exportgetragener Aufschwung – keine Linderung der binnenwirtschaftlichen Probleme"," ","6"
"Erstes Kapitel: Zusammenfassung Erfolge im Ausland – Herausforderungen im Inland","II. Deutschland: Exportgetragener Aufschwung – keine Linderung der binnenwirtschaftlichen Probleme","Die voraussichtliche Entwicklung im Jahr 2005: Konjunktur- hoffnungen ruhen auf der Belebung der Binnenwirtschaft","15"
"Erstes Kapitel: Zusammenfassung Erfolge im Ausland – Herausforderungen im Inland","III. Erfolge im Ausland – Herausforderungen im Inland"," ","17"
"Erstes Kapitel: Zusammenfassung Erfolge im Ausland – Herausforderungen im Inland","III. Erfolge im Ausland – Herausforderungen im Inland","1. Krankenversicherung und Pflegeversicherung: Pauschalprämien statt einkommensabhängiger Beiträge","19"
"Erstes Kapitel: Zusammenfassung Erfolge im Ausland – Herausforderungen im Inland","III. Erfolge im Ausland – Herausforderungen im Inland","2. Das deutsche Bildungssystem: Kein gutes Zeugnis","22"
"Erstes Kapitel: Zusammenfassung Erfolge im Ausland – Herausforderungen im Inland","III. Erfolge im Ausland – Herausforderungen im Inland","3. Wirtschaftspolitik für den Aufbau Ost: Königsweg nicht in Sicht","23"
"Erstes Kapitel: Zusammenfassung Erfolge im Ausland – Herausforderungen im Inland","III. Erfolge im Ausland – Herausforderungen im Inland","4. Finanzpolitik: Unverändert dringender Handlungsbedarf","27"
"Erstes Kapitel: Zusammenfassung Erfolge im Ausland – Herausforderungen im Inland","III. Erfolge im Ausland – Herausforderungen im Inland","5. Lohnpolitik: Dynamische und wettbewerbsfähige Arbeitsmärkte als Wachstumsmotoren","29"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahr 2004"," "," ","31"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahr 2004","I. Weltwirtschaft: Aufschwung auf breitem Fundament"," ","31"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahr 2004","I. Weltwirtschaft: Aufschwung auf breitem Fundament","1. Vereinigte Staaten: Wirtschaftliche Dynamik über Potential- wachstum","35"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahr 2004","I. Weltwirtschaft: Aufschwung auf breitem Fundament","2. Japan: Hoffnungen auf eine nachhaltige Erholung festigen sich","49"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahr 2004","I. Weltwirtschaft: Aufschwung auf breitem Fundament","3. Positive weltwirtschaftliche Entwicklung erfasst alle Schwellen- länder","54"
"Zweites Kapitel: Die wirtschaftliche Lage im Jahr 2004","I. Weltwirtschaft: Aufschwung auf breitem Fundament","Ostasien: Ausstrahlungseffekte von China verstärken Aufwärtstrend","54"
