"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Inhalt"," "," "," "
"Die Lage"," "," ","1"
"Die voraussichtliche Entwicklung"," "," ","1"
"Erstes Kapitel: Zur Konjunkturlage"," "," ","2"
"Erstes Kapitel: Zur Konjunkturlage","I. Die Weltkonjunktur 1970: Differenziertes Wachstum bei beschleunigtem Preisanstieg"," ","2"
"Erstes Kapitel: Zur Konjunkturlage","I. Die Weltkonjunktur 1970: Differenziertes Wachstum bei beschleunigtem Preisanstieg","Fortdauer der Hochkonjunktur in Kontinentaleuropa","2"
"Erstes Kapitel: Zur Konjunkturlage","I. Die Weltkonjunktur 1970: Differenziertes Wachstum bei beschleunigtem Preisanstieg","Weiterhin geringes Wachstum in Großbritannien, andauernder Boom in Japan","4"
"Erstes Kapitel: Zur Konjunkturlage","I. Die Weltkonjunktur 1970: Differenziertes Wachstum bei beschleunigtem Preisanstieg","Das konjunkturpolitische Dilemma der Vereinigten Staaten","4"
"Erstes Kapitel: Zur Konjunkturlage","I. Die Weltkonjunktur 1970: Differenziertes Wachstum bei beschleunigtem Preisanstieg","International beschleunigtes Inflationstempo","6"
"Erstes Kapitel: Zur Konjunkturlage","II. Konjunktur im Umbruch"," ","7"
"Erstes Kapitel: Zur Konjunkturlage","II. Konjunktur im Umbruch","Gedämpfte Auslandsnachfrage","9"
"Erstes Kapitel: Zur Konjunkturlage","II. Konjunktur im Umbruch","Nachlassende Investitionsneigung","10"
"Erstes Kapitel: Zur Konjunkturlage","II. Konjunktur im Umbruch","Verringerte Vorratsbildung","10"
"Erstes Kapitel: Zur Konjunkturlage","II. Konjunktur im Umbruch","Verstärkte Verbrauchskonjunktur","11"
"Erstes Kapitel: Zur Konjunkturlage","II. Konjunktur im Umbruch","Noch hohe Auslastung des Produktionspotentials","12"
"Erstes Kapitel: Zur Konjunkturlage","II. Konjunktur im Umbruch","Leergefegter Arbeitsmarkt","15"
"Erstes Kapitel: Zur Konjunkturlage","II. Konjunktur im Umbruch","Anhaltende Entlastung durch Importe","16"
"Erstes Kapitel: Zur Konjunkturlage","II. Konjunktur im Umbruch","Verschärfter Kampf um die Einkommensverteilung","16"
"Erstes Kapitel: Zur Konjunkturlage","II. Konjunktur im Umbruch","Ungewöhnlicher Anstieg der Erzeugerpreise, Nachziehen der Verbraucherpreise","23"
"Erstes Kapitel: Zur Konjunkturlage","III. Spektakuläre Preissteigerungen auf dem Baumarkt"," ","27"
"Erstes Kapitel: Zur Konjunkturlage","III. Spektakuläre Preissteigerungen auf dem Baumarkt","Unelastische Nachfrage","28"
"Erstes Kapitel: Zur Konjunkturlage","III. Spektakuläre Preissteigerungen auf dem Baumarkt","Unelastisches Angebot","28"
"Erstes Kapitel: Zur Konjunkturlage","III. Spektakuläre Preissteigerungen auf dem Baumarkt","Steigende Kosten, steigende Gewinne","29"
"Erstes Kapitel: Zur Konjunkturlage","III. Spektakuläre Preissteigerungen auf dem Baumarkt","Für eine Enquête über die Bauwirtschaft","30"
"Erstes Kapitel: Zur Konjunkturlage","IV. Öffentliche Finanzen - leicht kontraktiv"," ","31"
"Erstes Kapitel: Zur Konjunkturlage","IV. Öffentliche Finanzen - leicht kontraktiv","Haushalte der Gebietskörperschaften erneut konjunkturdämpfend","34"
"Erstes Kapitel: Zur Konjunkturlage","IV. Öffentliche Finanzen - leicht kontraktiv","Nachhinken öffentlicher Investitionen","39"
"Erstes Kapitel: Zur Konjunkturlage","IV. Öffentliche Finanzen - leicht kontraktiv","Konsolidierter Haushalt erstmals leicht kontraktiv","40"
"Erstes Kapitel: Zur Konjunkturlage","V. Geld- und Kreditpolitik auf Restriktionskurs"," ","40"
"Erstes Kapitel: Zur Konjunkturlage","V. Geld- und Kreditpolitik auf Restriktionskurs","Liquiditätsverknappung und Kreditverteuerung","42"
"Erstes Kapitel: Zur Konjunkturlage","V. Geld- und Kreditpolitik auf Restriktionskurs","Kapitalmarkt unter Restriktionsdruck","44"
"Erstes Kapitel: Zur Konjunkturlage","V. Geld- und Kreditpolitik auf Restriktionskurs","Grenzen der restriktiven Geld- und Kreditpolitik erreicht","45"
"Erstes Kapitel: Zur Konjunkturlage","V. Geld- und Kreditpolitik auf Restriktionskurs","Langer Bremsweg","46"
"Erstes Kapitel: Zur Konjunkturlage","VI. Die Außenwirtschaft nach der Aufwertung"," ","46"
"Erstes Kapitel: Zur Konjunkturlage","VI. Die Außenwirtschaft nach der Aufwertung","Keine Verbilligung der Einfuhr, Verteuerung der Ausfuhr","46"
"Erstes Kapitel: Zur Konjunkturlage","VI. Die Außenwirtschaft nach der Aufwertung","Außenwirtschaftliche Überschüsse nur wenig verringert","48"
"Erstes Kapitel: Zur Konjunkturlage","VI. Die Außenwirtschaft nach der Aufwertung","Tendenzwandel im langfristigen Kapitalverkehr","50"
"Erstes Kapitel: Zur Konjunkturlage","VI. Die Außenwirtschaft nach der Aufwertung","Erneut starker Anstieg der Devisenreserven","50"
"Erstes Kapitel: Zur Konjunkturlage","VII. Ein Gesamtindikator für die Konjunkturdiagnose - ein Versuch"," ","51"
"Zweites Kapitel: Die voraussehbare Entwicklung"," "," ","53"
"Zweites Kapitel: Die voraussehbare Entwicklung","I. Die Weltkonjunktur im Jahre 1971"," ","53"
"Zweites Kapitel: Die voraussehbare Entwicklung","II. Die öffentlichen Finanzen im Jahre 1971"," ","56"
"Zweites Kapitel: Die voraussehbare Entwicklung","III. Die voraussichtliche Entwicklung der Binnenkonjunktur"," ","57"
"Drittes Kapitel: Gegen Geldwertschwund - für stetiges Wachstum"," "," ","63"
"Drittes Kapitel: Gegen Geldwertschwund - für stetiges Wachstum","I. Nach der konjunkturellen Wende"," ","63"
"Drittes Kapitel: Gegen Geldwertschwund - für stetiges Wachstum","II. Ursprünge der Fehlentwicklungen"," ","64"
"Drittes Kapitel: Gegen Geldwertschwund - für stetiges Wachstum","III. Grundprobleme gegenwärtiger Stabilitätspolitik"," ","67"
"Drittes Kapitel: Gegen Geldwertschwund - für stetiges Wachstum","III. Grundprobleme gegenwärtiger Stabilitätspolitik","Geldwertstabilität heute","67"
"Drittes Kapitel: Gegen Geldwertschwund - für stetiges Wachstum","III. Grundprobleme gegenwärtiger Stabilitätspolitik","Einkommenspolitik und Verteilungskampf","71"
