"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"ERSTES KAPITEL Die Zukunft nicht aufs Spiel setzen"," "," ","1"
"ERSTES KAPITEL Die Zukunft nicht aufs Spiel setzen","I. Die Ausgangslage: Erholung, aber kein Aufschwung"," ","3"
"ERSTES KAPITEL Die Zukunft nicht aufs Spiel setzen","II. Die Exit-Strategie: Haushaltskonsolidierung und Überwindung der Finanz-krise"," ","6"
"ERSTES KAPITEL Die Zukunft nicht aufs Spiel setzen","II. Die Exit-Strategie: Haushaltskonsolidierung und Überwindung der Finanz-krise","1. Europäische Geld- und Fiskalpolitik: Vor schwierigen Entzugsprozessen","7"
"ERSTES KAPITEL Die Zukunft nicht aufs Spiel setzen","II. Die Exit-Strategie: Haushaltskonsolidierung und Überwindung der Finanz-krise","2. Die nationale Perspektive: Vorrang für die Haushaltskonsolidierung","10"
"ERSTES KAPITEL Die Zukunft nicht aufs Spiel setzen","II. Die Exit-Strategie: Haushaltskonsolidierung und Überwindung der Finanz-krise","3. Reformen für eine stabile Finanzmarktarchitektur","12"
"ERSTES KAPITEL Die Zukunft nicht aufs Spiel setzen","III. Bildung und Innovationen als Zukunftsinvestitionen"," ","16"
"ERSTES KAPITEL Die Zukunft nicht aufs Spiel setzen","III. Bildung und Innovationen als Zukunftsinvestitionen","1. Reform des Bildungssystems: Eine Bildungsoffensive","16"
"ERSTES KAPITEL Die Zukunft nicht aufs Spiel setzen","III. Bildung und Innovationen als Zukunftsinvestitionen","2. Innovations- und Industriepolitik","19"
"ERSTES KAPITEL Die Zukunft nicht aufs Spiel setzen","III. Bildung und Innovationen als Zukunftsinvestitionen","3. Verbesserung der Standortattraktivität","22"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland"," "," ","25"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Nach dem Absturz"," ","26"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Nach dem Absturz","1. Auf dem Weg aus der Rezession","27"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Nach dem Absturz","2. Die konjunkturelle Entwicklung in wichtigen Wirtschaftsräumen","33"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Nach dem Absturz","Vereinigte Staaten und andere große Industrienationen","33"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Nach dem Absturz","Vereinigte Staaten","33"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Nach dem Absturz","Japan","36"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Nach dem Absturz","Andere große Industriestaaten außerhalb Europas","37"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Nach dem Absturz","Asiatische Schwellenländer","38"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Nach dem Absturz","Russland, Brasilien und andere große Rohstoffexporteure","39"
