"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Erstes Kapitel Die Chance nutzen - Reformen mutig voranbringen"," "," ","1"
"Erstes Kapitel Die Chance nutzen - Reformen mutig voranbringen","I. Komplexe Probleme- differenzierte Antworten"," ","1"
"Erstes Kapitel Die Chance nutzen - Reformen mutig voranbringen","II. Die wirtschaftliche Entwicklung in den Jahren 2005 und 2006"," ","10"
"Erstes Kapitel Die Chance nutzen - Reformen mutig voranbringen","II. Die wirtschaftliche Entwicklung in den Jahren 2005 und 2006","1. Die Lage im Jahr 2005","10"
"Erstes Kapitel Die Chance nutzen - Reformen mutig voranbringen","II. Die wirtschaftliche Entwicklung in den Jahren 2005 und 2006","2. Der Ausblick für das Jahr 2006","16"
"Erstes Kapitel Die Chance nutzen - Reformen mutig voranbringen","III. Ein wirtschaftspolitischer Programmvorschlag"," ","18"
"Erstes Kapitel Die Chance nutzen - Reformen mutig voranbringen","III. Ein wirtschaftspolitischer Programmvorschlag","1. Neuer Anlauf zu einer Reform des Föderalismus","18"
"Erstes Kapitel Die Chance nutzen - Reformen mutig voranbringen","III. Ein wirtschaftspolitischer Programmvorschlag","2. Arbeitsmarkt: Den Reformkurs fortsetzen","20"
"Erstes Kapitel Die Chance nutzen - Reformen mutig voranbringen","III. Ein wirtschaftspolitischer Programmvorschlag","3. Sozialversicherung: Umfinanzierung versicherungsfremder Leistungen","24"
"Erstes Kapitel Die Chance nutzen - Reformen mutig voranbringen","III. Ein wirtschaftspolitischer Programmvorschlag","4. Steuerpolitik: Das Richtige tun - das Falsche unterlassen","30"
"Erstes Kapitel Die Chance nutzen - Reformen mutig voranbringen","III. Ein wirtschaftspolitischer Programmvorschlag","5. Effizienz der Finanz- und Kreditmärkte stärken","34"
"Erstes Kapitel Die Chance nutzen - Reformen mutig voranbringen","III. Ein wirtschaftspolitischer Programmvorschlag","6. Haushaltskonsolidierung: langfristig planen, kurzfristig handeln","36"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland"," "," ","42"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Robuste Entwicklung bei erhöhten Risiken"," ","44"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Robuste Entwicklung bei erhöhten Risiken","1. Ölpreis, weltwirtschaftliche Ungleichgewichte und hohe Immobilienpreise\nbereiten Sorgen","45"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Robuste Entwicklung bei erhöhten Risiken","2. Starke binnenwirtschaftliche Dynamik in den Vereinigten Staaten","50"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Robuste Entwicklung bei erhöhten Risiken","3. Lebhafterer Konsum und erfolgreiche Konsolidierung der Unternehmen\nin Japan","53"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Robuste Entwicklung bei erhöhten Risiken","4. China und andere Schwellenländer entwickeln sich weiter dynamisch","54"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Robuste Entwicklung bei erhöhten Risiken","5. Euro-Raum mit verhaltener Konjunktur","58"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Robuste Entwicklung bei erhöhten Risiken","6. Weiterhin günstige geldpolitische Rahmenbedingungen, aber gestiegene\nPreisrisiken","59"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Robuste Entwicklung bei erhöhten Risiken","Preisniveaustabilität trotz steigender Ölpreise","60"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Robuste Entwicklung bei erhöhten Risiken","Beschleunigter Zuwachs der Geldmenge M3","61"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Robuste Entwicklung bei erhöhten Risiken","Schwankende Zinserwartungen am Geldmarkt und anhaltend niedrige\nLangfristzinsen","63"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Robuste Entwicklung bei erhöhten Risiken","Außenwert des Euro von zunehmendem Zinsgefälle geprägt","64"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","I. Weltwirtschaft: Robuste Entwicklung bei erhöhten Risiken","7. Abflachende konjunkturelle Entwicklung in den übrigen Staaten der\nEuropäischen Union","65"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","II. Konjunktur in Deutschland bleibt labil"," ","66"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","II. Konjunktur in Deutschland bleibt labil","1. Potentialwachstum weiterhin gering","68"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","II. Konjunktur in Deutschland bleibt labil","2. Anhaltende Konsumflaute","72"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","II. Konjunktur in Deutschland bleibt labil","Exkurs: Konjunkturrelevante Ausrichtung der Fiskalpolitik in den\nJahren 1997 bis 2004","77"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","II. Konjunktur in Deutschland bleibt labil","3. Rückgang der Investitionen bei heterogener Entwicklung der Teil-\nkomponenten","84"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","II. Konjunktur in Deutschland bleibt labil","Moderater Zuwachs der Ausrüstungsinvestitionen","84"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","II. Konjunktur in Deutschland bleibt labil","Bauinvestitionen belasten weiterhin","87"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","II. Konjunktur in Deutschland bleibt labil","4. Außenwirtschaft: Einmal mehr das Zugpferd der konjunkturellen Ent-\nwicklung","88"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","II. Konjunktur in Deutschland bleibt labil","5. Entstehungsseite","91"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","II. Konjunktur in Deutschland bleibt labil","Preisentwicklung: Im Zeichen steigender Ölpreise","91"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","III. Die voraussichtliche Entwicklung im Jahr 2006"," ","94"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","III. Die voraussichtliche Entwicklung im Jahr 2006","1. Leicht abflachende aber robuste Weltkonjunktur","94"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","III. Die voraussichtliche Entwicklung im Jahr 2006","2. Deutschland: Immer noch keine durchgreifende Erholung der\nBinnennachfrage","98"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","III. Die voraussichtliche Entwicklung im Jahr 2006","Export bleibt wesentliche Stütze für die deutsche Konjunktur","101"
"Zweites Kapitel Die wirtschaftliche Lage in der Welt und in Deutschland","III. Die voraussichtliche Entwicklung im Jahr 2006","Öffentliche Finanzen: Geringeres Defizit, aber Konsolidierung bleibt\nunumgänglich","109"
"Drittes Kapitel Arbeitsmarkt: Den Reformkurs fortsetzen"," "," ","114"
"Drittes Kapitel Arbeitsmarkt: Den Reformkurs fortsetzen","I. Die Lage im Jahr 2005: Umfassende Belebung steht weiterhin aus"," ","116"
"Drittes Kapitel Arbeitsmarkt: Den Reformkurs fortsetzen","I. Die Lage im Jahr 2005: Umfassende Belebung steht weiterhin aus","1. Beschäftigungsbelebung nur an den Rändern","116"
"Drittes Kapitel Arbeitsmarkt: Den Reformkurs fortsetzen","I. Die Lage im Jahr 2005: Umfassende Belebung steht weiterhin aus","2. Berufsausbildungsstellenmarkt: Lage unverändert prekär","120"
"Drittes Kapitel Arbeitsmarkt: Den Reformkurs fortsetzen","I. Die Lage im Jahr 2005: Umfassende Belebung steht weiterhin aus","3. Arbeitslosigkeit und Arbeitsmarktpolitik im Zeichen von Hartz IV","120"
"Drittes Kapitel Arbeitsmarkt: Den Reformkurs fortsetzen","I. Die Lage im Jahr 2005: Umfassende Belebung steht weiterhin aus","Aktuelle Entwicklung der Arbeitslosigkeit: Ist der Höhepunkt erreicht?","120"
"Drittes Kapitel Arbeitsmarkt: Den Reformkurs fortsetzen","I. Die Lage im Jahr 2005: Umfassende Belebung steht weiterhin aus","Bundesagentur für Arbeit und arbeitsmarktpolitisches Instrumentarium\nim Umbruch","124"
