"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"ERSTES KAPITEL Internationale Konjunktur: Erholung zeichnet sich ab"," "," ","18"
"ERSTES KAPITEL Internationale Konjunktur: Erholung zeichnet sich ab","I. Überblick zur Weltkonjunktur"," ","20"
"ERSTES KAPITEL Internationale Konjunktur: Erholung zeichnet sich ab","I. Überblick zur Weltkonjunktur","1. Industrieländer im Aufschwung, Schwellenländer schwächeln","20"
"ERSTES KAPITEL Internationale Konjunktur: Erholung zeichnet sich ab","I. Überblick zur Weltkonjunktur","2. Leichte Beschleunigung im kommenden Jahr","25"
"ERSTES KAPITEL Internationale Konjunktur: Erholung zeichnet sich ab","I. Überblick zur Weltkonjunktur","Risiken","26"
"ERSTES KAPITEL Internationale Konjunktur: Erholung zeichnet sich ab","II. Zur Lage in den Ländern außerhalb des Euro-Raums"," ","30"
"ERSTES KAPITEL Internationale Konjunktur: Erholung zeichnet sich ab","II. Zur Lage in den Ländern außerhalb des Euro-Raums","1. Industrieländer: Wirtschaft belebt sich","30"
"ERSTES KAPITEL Internationale Konjunktur: Erholung zeichnet sich ab","II. Zur Lage in den Ländern außerhalb des Euro-Raums","Vereinigte Staaten: Haushaltsstreit gefährdet den Aufschwung","31"
"ERSTES KAPITEL Internationale Konjunktur: Erholung zeichnet sich ab","II. Zur Lage in den Ländern außerhalb des Euro-Raums","Japan: „Abenomics“ führt aus der Rezession","33"
"ERSTES KAPITEL Internationale Konjunktur: Erholung zeichnet sich ab","II. Zur Lage in den Ländern außerhalb des Euro-Raums","Vereinigtes Königreich: Wirtschaft wird vom Aufschwung im Euro-Raum begünstigt","35"
"ERSTES KAPITEL Internationale Konjunktur: Erholung zeichnet sich ab","II. Zur Lage in den Ländern außerhalb des Euro-Raums","2. Schwellenländer: Abwärtstrend setzt sich fort","36"
"ERSTES KAPITEL Internationale Konjunktur: Erholung zeichnet sich ab","II. Zur Lage in den Ländern außerhalb des Euro-Raums","China: Weiterhin starke Abhängigkeit von den Investitionen","36"
