"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken"," "," ","1"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","I. Die deutsche Wirtschaft im Sog der Finanzkrise"," ","1"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","I. Die deutsche Wirtschaft im Sog der Finanzkrise","Systemische Bankenkrise konnte gestoppt werden","1"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","I. Die deutsche Wirtschaft im Sog der Finanzkrise","Erhebliche realwirtschaftliche Folgen, aber keine extremen Entwicklungen zu erwarten","1"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","I. Die deutsche Wirtschaft im Sog der Finanzkrise","Verantwortlichkeiten für die Finanzkrise","3"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","II. Stabilisierung der Finanzmärkte"," ","4"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","III. Die deutsche Konjunktur im Abschwung"," ","7"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","IV. Wirtschaftspolitik: Was zu tun ist"," ","9"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","IV. Wirtschaftspolitik: Was zu tun ist","1. Konjunkturgerechte Wachstumspolitik für Deutschland","9"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","IV. Wirtschaftspolitik: Was zu tun ist","2. Rahmenbedingungen für Wachstum und Beschäftigung verbessern","10"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","IV. Wirtschaftspolitik: Was zu tun ist","Finanzpolitik: Verzerrungen abbauen","11"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","IV. Wirtschaftspolitik: Was zu tun ist","Arbeitsmarktpolitik: Sockelarbeitslosigkeit weiter senken","12"
"ERSTES KAPITEL Die Finanzkrise meistern, Wachstumskräfte stärken","IV. Wirtschaftspolitik: Was zu tun ist","Nachhaltige Sozialpolitik","13"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland"," "," ","17"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld"," ","19"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","1. Bestimmungsfaktoren der weltwirtschaftlichen Entwicklung","21"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Realwirtschaftliche Folgen der Finanzkrise","25"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Platzende Immobilienpreisblasen","30"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Ausmaß der Überbewertung am Immobilienmarkt","32"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Ausmaß direkter Nachfrageeffekte","33"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Ausmaß indirekter Effekte auf die Nachfrage","36"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Wachstumseinbußen infolge von Immobilienkrisen","38"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Entwicklung der Rohstoffpreise","40"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Ursachen für die Rohstoffpreisanstiege der letzten Jahre","41"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Fundamentale Faktoren","42"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Spekulative Faktoren","45"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Der Rückgang des Ölpreises seit Jahresmitte","50"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Die Weltwirtschaft im Jahr 2009","51"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","2. Vereinigte Staaten: Expansive Wirtschaftspolitik im Zeichen der Finanzkrise","53"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Konjunkturentwicklung im Jahr 2008","53"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Voraussichtliche Entwicklung im Jahr 2009: Anhaltender Abschwung","56"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","3. Japan: Globale Konjunkturschwäche belastet japanische Exporte","58"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Konjunkturentwicklung im Jahr 2008","58"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Voraussichtliche Entwicklung im Jahr 2009","60"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","4. Schwellenländer: Keine Entkopplung","60"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","China: Verhaltene konjunkturelle Entwicklung im Jahr 2008","62"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Voraussichtliche Entwicklung im Jahr 2009","64"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","5. Europäische Union: Abrupte Abkühlung","65"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Euro-Raum: Konjunktur verliert an Schwung","65"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Geldpolitik zwischen Konjunktur- und Preisrisiken","69"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Starke Auf- und Abwertung des Außenwerts des Euro im Zuge der Finanzkrise","70"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Eintrübung der Konjunktur in den übrigen Staaten der Europäischen Union","71"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaftliches Umfeld","Voraussichtliche Entwicklung im Jahr 2009","74"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung"," ","75"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","1. Konjunktureller Abschwung nach imposantem Jahresbeginn 2008","76"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","Rückläufige Output-Lücke im Jahr 2008","80"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","Preisschub dämpft Konsum","80"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","Privater Konsum: Erhoffte Erholung blieb aus","84"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","Staatskonsum: Stabilisator in der Konjunkturabschwächung","91"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","Ausrüstungsinvestitionen: Der Aufschwung ist zu Ende","91"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","Verhaltene Entwicklung in der Bauwirtschaft","96"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","Außenwirtschaft: Nachlassende Impulse","97"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","Entstehungsseite: Produktionsdynamik in der Industrie schwächt sich ab","100"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","2. Die voraussichtliche Entwicklung im Jahr 2009: Deutschland in der Rezession","100"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","Risiken der Prognose","104"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","Die Entwicklung der Nachfragekomponenten im Einzelnen","105"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","Arbeitsmarkt: Beschäftigungsabbau und Anstieg der Arbeitslosigkeit","109"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Die deutsche Volkswirtschaft im Abschwung","Öffentliche Finanzen: Öffentliche Haushalte in turbulenten Zeiten","110"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation"," "," ","117"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","I. Die unerwartete Ausbreitung der Krise"," ","118"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","I. Die unerwartete Ausbreitung der Krise","1. Zur Genesis der Krise","119"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","I. Die unerwartete Ausbreitung der Krise","2. Die Fehleinschätzung der US-Behörden im Fall von Lehman Brothers","122"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","I. Die unerwartete Ausbreitung der Krise","3. Der US-amerikanische Immobilienmarkt findet keinen Boden","124"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","I. Die unerwartete Ausbreitung der Krise","4. Negative Selbstverstärkung durch „Deleveraging“","127"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","I. Die unerwartete Ausbreitung der Krise","5. Zunehmendes Misstrauen verschlechtert Ertragslage","128"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","II. Reaktion der Zentralbanken"," ","129"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","II. Reaktion der Zentralbanken","1. Zentralbankpolitische Maßnahmen zur Bewältigung der Krise","131"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","II. Reaktion der Zentralbanken","Federal Reserve","132"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","II. Reaktion der Zentralbanken","Europäische Zentralbank","135"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","II. Reaktion der Zentralbanken","2. Effektivität der ergriffenen Maßnahmen","140"
