"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland"," "," ","14"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Internationale Konjunktur: Weltwirtschaft unter dem Einfluss der Euro-Krise"," ","16"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Internationale Konjunktur: Weltwirtschaft unter dem Einfluss der Euro-Krise","1. Hohe Schulden dämpfen die Weltwirtschaft noch immer","17"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Internationale Konjunktur: Weltwirtschaft unter dem Einfluss der Euro-Krise","Konsolidierung im öffentlichen und privaten Sektor","17"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Internationale Konjunktur: Weltwirtschaft unter dem Einfluss der Euro-Krise","EZB stabilisiert Euro-Raum","21"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Internationale Konjunktur: Weltwirtschaft unter dem Einfluss der Euro-Krise","Geldpolitik außerhalb des Euro-Raums","22"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Internationale Konjunktur: Weltwirtschaft unter dem Einfluss der Euro-Krise","2. Die konjunkturelle Entwicklung in den einzelnen Wirtschaftsräumen","24"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Internationale Konjunktur: Weltwirtschaft unter dem Einfluss der Euro-Krise","Vereinigte Staaten","24"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Internationale Konjunktur: Weltwirtschaft unter dem Einfluss der Euro-Krise","Vereinigtes Königreich","26"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Internationale Konjunktur: Weltwirtschaft unter dem Einfluss der Euro-Krise","Japan","27"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Internationale Konjunktur: Weltwirtschaft unter dem Einfluss der Euro-Krise","Schwellenländer","28"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Internationale Konjunktur: Weltwirtschaft unter dem Einfluss der Euro-Krise","Euro-Raum","31"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Internationale Konjunktur: Weltwirtschaft unter dem Einfluss der Euro-Krise","3. Die Entwicklung im Prognosezeitraum","36"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Konjunktur in Deutschland: Keine Entkopplung vom außenwirtschaftlichenUmfeld"," ","40"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Konjunktur in Deutschland: Keine Entkopplung vom außenwirtschaftlichenUmfeld","1. Die konjunkturelle Entwicklung bis zur Mitte des Jahres 2012","41"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Konjunktur in Deutschland: Keine Entkopplung vom außenwirtschaftlichenUmfeld","2. Die aktuelle Indikatorenlage","45"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Konjunktur in Deutschland: Keine Entkopplung vom außenwirtschaftlichenUmfeld","3. Die Entwicklung im Prognosezeitraum","47"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Konjunktur in Deutschland: Keine Entkopplung vom außenwirtschaftlichenUmfeld","Verwendungsseite des Bruttoinlandsprodukts","50"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Konjunktur in Deutschland: Keine Entkopplung vom außenwirtschaftlichenUmfeld","Arbeitsmarkt","55"
"ERSTES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Konjunktur in Deutschland: Keine Entkopplung vom außenwirtschaftlichenUmfeld","Öffentliche Finanzen","57"
"ZWEITES KAPITELEuropäische Wirtschaftspolitik: Stabile Architektur für Europa"," "," ","62"
"ZWEITES KAPITELEuropäische Wirtschaftspolitik: Stabile Architektur für Europa","I. Euro-Krise im dritten Jahr: Bislang noch wenige Lichtblicke"," ","64"
"ZWEITES KAPITELEuropäische Wirtschaftspolitik: Stabile Architektur für Europa","I. Euro-Krise im dritten Jahr: Bislang noch wenige Lichtblicke","1. Staatsschuldenkrise: Anstieg der Schuldenstandsquoten setzt sich fort","65"
"ZWEITES KAPITELEuropäische Wirtschaftspolitik: Stabile Architektur für Europa","I. Euro-Krise im dritten Jahr: Bislang noch wenige Lichtblicke","2. Makroökonomische Krise: Licht und Schatten","71"
"ZWEITES KAPITELEuropäische Wirtschaftspolitik: Stabile Architektur für Europa","I. Euro-Krise im dritten Jahr: Bislang noch wenige Lichtblicke","3. Bankenkrise: Vertrauen kehrt nicht zurück","76"
"ZWEITES KAPITELEuropäische Wirtschaftspolitik: Stabile Architektur für Europa","II. EZB in der Zwickmühle"," ","81"
"ZWEITES KAPITELEuropäische Wirtschaftspolitik: Stabile Architektur für Europa","II. EZB in der Zwickmühle","1. Stützung der Kapitalmärkte","82"
"ZWEITES KAPITELEuropäische Wirtschaftspolitik: Stabile Architektur für Europa","II. EZB in der Zwickmühle","2. Stabilisierung des Bankensystems","88"
