"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"ERSTES KAPITELDas Erreichte nicht verspielen"," "," ","1"
"ERSTES KAPITELDas Erreichte nicht verspielen","I. Konjunktur: Verhaltene Aussichten"," ","3"
"ERSTES KAPITELDas Erreichte nicht verspielen","II. Es gibt eine Reformdividende"," ","6"
"ERSTES KAPITELDas Erreichte nicht verspielen","III. Wirtschaftspolitik im Aufschwung – Licht und Schatten"," ","9"
"ERSTES KAPITELDas Erreichte nicht verspielen","IV. Wirtschaftspolitische Optionen: Was zu tun und was zu lassen ist"," ","12"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland"," "," ","21"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Weitere Expansion trotz Finanzmarktkrise"," ","22"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Weitere Expansion trotz Finanzmarktkrise","1. Vereinigte Staaten: Konjunkturelle Abkühlung im Zuge derUS-Immobilienkrise","28"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Weitere Expansion trotz Finanzmarktkrise","2. Japan: Gebremstes Wachstum bei stagnierendem Preisniveau","32"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Weitere Expansion trotz Finanzmarktkrise","3. China: Rasantes Wachstum mit Überhitzungstendenzen","34"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Weitere Expansion trotz Finanzmarktkrise","4. Europäische Union: Weiterhin hohe wirtschaftliche Dynamik","36"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Weitere Expansion trotz Finanzmarktkrise","Euro-Raum: Aufschwung auf breiter Basis","36"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Weitere Expansion trotz Finanzmarktkrise","Weiterhin robuste Entwicklung in den übrigen Staaten derEuropäischen Union","38"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Weitere Expansion trotz Finanzmarktkrise","Geldpolitik nach Zinserhöhung neutral","40"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Weitere Expansion trotz Finanzmarktkrise","Moderate Preisniveauentwicklung trotz Sondereffekten","41"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Weitere Expansion trotz Finanzmarktkrise","Weiterhin hohes M3-Wachstum","42"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Weitere Expansion trotz Finanzmarktkrise","Expansive Wirkung der Geldpolitik ausgelaufen","43"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Weitere Expansion trotz Finanzmarktkrise","Steigender Außenwert des Euro","44"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I. Weltwirtschaft: Weitere Expansion trotz Finanzmarktkrise","Zentralbank versucht die Finanzmärkte zu stabilisieren","45"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Anhaltender Aufschwung trotz Umsatzsteuererhöhung"," ","47"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Anhaltender Aufschwung trotz Umsatzsteuererhöhung","1. Konjunktureller Aufschwung deutlich über Potenzialwachstum","49"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Anhaltender Aufschwung trotz Umsatzsteuererhöhung","2. Privater Konsum: Langsame Erholung nach Umsatzsteuerdelle","49"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Anhaltender Aufschwung trotz Umsatzsteuererhöhung","3. Staatskonsum: Spürbarer Anstieg trotz restriktiver Fiskalpolitik","52"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Anhaltender Aufschwung trotz Umsatzsteuererhöhung","4. Ausrüstungsinvestitionen: Weiterhin sehr dynamische Entwicklung","53"
"ZWEITES KAPITELDie wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II. Deutschland: Anhaltender Aufschwung trotz Umsatzsteuererhöhung","5. Heterogene Entwicklungen in der Bauwirtschaft","55"
